artist,cp,section,song
3 Doors Down,"1,5,6,4",Intro,Be Like That
3 Doors Down,"1,5,6,4",Verse,Be Like That
Adele,"1,5,6,4",Chorus,Someone Like You
Avril Lavigne,"1,5,6,4",Chorus,Girlfriend
Bon Jovi,"1,5,6,4",Chorus,Living On A Prayer
Bruno Mars,"1,5,6,4",Chorus,Grenade
Carly Rae Jepsen,"1,5,6,4",Chorus,Call Me Maybe
Carrie Underwood,"1,5,6,4",Chorus,So Small
Carrie Underwood,"1,5,6,4",Verse,So Small
Cascada,"1,5,6,4",Verse,Every Time We Touch
Cheryl Cole,"1,5,6,4",Verse,Parachute
Christina Perri,"1,5,6,4",Chorus,Jar Of Hearts
Erasure,"1,5,6,4",Pre-Chorus,Always
Evanescence,"1,5,6,4",Chorus,Bring Me To Life
Flo Rida,"1,5,6,4",Instrumental,Whistle
Jason Mraz,"1,5,6,4",Chorus,I'm Yours
Jason Mraz,"1,5,6,4",Verse,I'm Yours
Kelly Clarkson,"1,5,6,4",Verse,Already Gone
Lady Gaga,"1,5,6,4",Chorus,The Edge Of Glory
Maroon 5,"1,5,6,4",Chorus,She Will Be Loved
Matchbox 20,"1,5,6,4",Verse,Real World
Mumford and Sons,"1,5,6,4",Chorus,The Cave
NOFX,"1,5,6,4",Chorus,Please Play This Song On The Radio
Of Monsters And Men,"1,5,6,4",Chorus,Little Talks
Of Monsters And Men,"1,5,6,4",Intro,Little Talks
Old Crow Medicine Show,"1,5,6,4",Verse,Wagon Wheel
One Direction,"1,5,6,4",Pre-Chorus,Live While We're Young
One Republic,"1,5,6,4",Chorus,Say
One Republic,"1,5,6,4",Verse and Pre-Chorus,Say
Pink,"1,5,6,4",Chorus,U and Ur Hand
Rihanna,"1,5,6,4",Pre-Chorus,Love The Way You Lie Part 2
Rihanna,"1,5,6,4",Verse,Love The Way You Lie Part 2
Shakira,"1,5,6,4",Pre-Chorus and Chorus,Waka Waka
Skid Row,"1,5,6,4",Pre-Chorus and Chorus,Wasted Time
Snow Patrol,"1,5,6,4",Chorus,Run
Taylor Swift,"1,5,6,4",Verse,Eyes Open
Taylor Swift,"1,5,6,4",Chorus,I Knew You Were Trouble
Taylor Swift,"1,5,6,4",Verse,I Knew You Were Trouble
The Lonely Island,"1,5,6,4",Bridge,Jack Sparrow
The Lonely Island,"1,5,6,4",Chorus,Jack Sparrow
Tim McGraw,"1,5,6,4",Verse,It's Your Love
Tim McGraw,"1,5,6,4",Verse,Where The Green Grass Grows
Train,"1,5,6,4",Verse,Hey Soul Sister
Avicii - Ezon remix ,"1,5,6,4",Chorus,All You Need Is Love
Avril Lavigne,"1,5,6,4",Chorus,Complicated
Green Day,"1,5,6,4",Intro,21 Guns
Green Day,"1,5,6,4",Verse,21 Guns
Green Day,"1,5,6,4",Chorus,Boulevard of Broken Dreams
Green Day,"1,5,6,4",Chorus,Holiday
Green Day,"1,5,6,4",Verse,Holiday
Green Day,"1,5,6,4",Chorus,When I Come Around
Linkin Park,"1,5,6,4",Chorus,Numb
Michel Telo,"1,5,6,4",Chorus,Ai Se Eu Te Pego
Mike Candys,"1,5,6,4",Intro,2012 'If The World Would End'
Mike Candys,"1,5,6,4",Pre-Chorus and Chorus,2012 'If The World Would End'
Red Hot Chili Peppers,"1,5,6,4",Chorus,Snow -Hey Oh-
Skyrim OST,"1,5,6,4",Intro,The Bannered Mare
Sum 41,"1,5,6,4",Chorus,Confusion and Frustration in Modern Times
Sum 41,"1,5,6,4",Intro,Confusion and Frustration in Modern Times
Sum 41,"1,5,6,4",Intro and Verse,Confusion and Frustration in Modern Times
Sum 41,"1,5,6,4",Verse and Pre-Chorus,Confusion and Frustration in Modern Times
Sum 41,"1,5,6,4",Chorus,Walking Disaster
Tiesto and Allure,"1,5,6,4",Chorus,Pair of Dice
Jeff Marx and Robert Lopez,"1,5,6,4",Verse and Pre-Chorus,The Internet Is For Porn
Lady Gaga,"1,5,6,4",Chorus,Paparazzi
Linkin Park,"1,5,6,4",Chorus,Castle Of Glass
Yiruma,"1,5,6,4",Intro and Verse,River flows in you
Roxette,"1,5,6,4",Chorus,Listen To Your Heart
Lady Gaga,"1,5,6,4",Chorus,Alejandro
Toto,"1,5,6,4",Chorus,Africa
The Avett Brothers,"1,5,6,4",Verse,Life
Tidal Wave,"1,5,6,4",Instrumental,Sub Focus
Taylor Swift,"1,5,6,4",Bridge,Stay Stay Stay
Edward Maya,"1,5,6,4",Instrumental,Stereo Love
Deep Blue Something,"1,5,6,4",Chorus,Breakfast At Tiffany's
Rome,"1,5,6,4",Chorus,Seasons
RIO,"1,5,6,4",Chorus,Living in Stereo
RIO,"1,5,6,4",Pre-Chorus,Living in Stereo
Britney Spears,"1,5,6,4",Intro,Born to make you happy
