artist,cp,section,song
Britney Spears,"1,5,6,4",Chorus,Born to make you happy
Axis of Awesome,"1,5,6,4",Chorus,Four Chord Songs
Passion Pit,"1,5,6,4",Chorus,Take A Walk
Passenger,"1,5,6,4",Chorus,Let Her Go
Charles Jenkins,"1,5,6,4",Verse,Awesome
Charles Jenkins,"1,5,6,4",Verse and Pre-Chorus,Awesome
Enrique Iglesias,"1,5,6,4",Chorus,Escape
Enrique Iglesias,"1,5,6,4",Chorus,Dimelo
Jo Blankenburg,"1,5,6,4",Intro,Illumielle
Cyndi Lauper,"1,5,6,4",Chorus,Time After Time
Lindsey Stirling,"1,5,6,4",Intro,Transcendence
Blink 182,"1,5,6,4",Verse,What's My Age Again
Blink 182,"1,5,6,4",Chorus,What's My Age Again
The Cars,"1,5,6,4",Pre-Chorus,Just What I Needed
Red Hot Chili Peppers,"1,5,6,4",Chorus,Otherside
Armin van Buuren,"1,5,6,4",Verse,This Is What It Feels Like
Armin van Buuren,"1,5,6,4",Pre-Chorus,This Is What It Feels Like
Armin van Buuren,"1,5,6,4",Chorus,This Is What It Feels Like
Demi Lovato,"1,5,6,4",Verse,Heart Attack
Fall Out Boy,"1,5,6,4",Pre-Chorus and Chorus,My Songs Know What You Did In The Dark
Plastic Tree,"1,5,6,4",Verse and Pre-Chorus,Mizuiro Girlfriend
Deitrick Haddon,"1,5,6,4",Chorus,He's Able
Charles Jenkins,"1,5,6,4",Intro,Awesome
Florida Georgia Line,"1,5,6,4",Chorus,Get Your Shine On
O Zone,"1,5,6,4",Intro,Dragostea Din Tei
O Zone,"1,5,6,4",Verse and Pre-Chorus,Dragostea Din Tei
O Zone,"1,5,6,4",Chorus Lead-Out,Dragostea Din Tei
Basshunter,"1,5,6,4",Verse,All I Ever Wanted
ItaloBrothers,"1,5,6,4",Pre-Chorus,Stamp on the Ground
ItaloBrothers,"1,5,6,4",Instrumental,Stamp on the Ground
Klaus Badelt,"1,5,6,4",Verse,He's a Pirate
Britney Spears,"1,5,6,4",Pre-Chorus and Chorus,You Drive Me Crazy
Imogen Heap,"1,5,6,4",Verse,Hide And Seek
Imogen Heap,"1,5,6,4",Pre-Chorus,Hide And Seek
Iyaz,"1,5,6,4",Chorus,Replay
Kelly Clarkson,"1,5,6,4",Verse and Pre-Chorus,Behind These Hazel Eyes
Kelly Clarkson,"1,5,6,4",Chorus,Behind These Hazel Eyes
Kelly Clarkson,"1,5,6,4",Bridge,Behind These Hazel Eyes
Mike Candys,"1,5,6,4",Intro and Verse,Everybody
Mike Candys,"1,5,6,4",Pre-Chorus and Chorus,Everybody
Cady Groves,"1,5,6,4",Chorus,Love Actually
Nelly,"1,5,6,4",Instrumental,Just A Dream
Taylor Swift,"1,5,6,4",Chorus,Love Story
The Veronicas,"1,5,6,4",Chorus,Everything I'm Not
The Veronicas,"1,5,6,4",Chorus,4ever
Backstreet Boys,"1,5,6,4",Chorus,The One
Asher Roth,"1,5,6,4",Chorus,I Love College
John Mayer,"1,5,6,4",Chorus,Waiting on the World to Change
Shania Twain,"1,5,6,4",Verse and Pre-Chorus,That Don't Impress Me Much
Shania Twain,"1,5,6,4",Chorus,That Don't Impress Me Much
Noam Kaniel,"1,5,6,4",Intro,A World Without Danger
Renard,"1,5,6,4",Bridge,Intensive Care Unit
Renard,"1,5,6,4",Chorus,Intensive Care Unit
INXS,"1,5,6,4",Chorus,Beautiful Girl
Miley Cyrus,"1,5,6,4",Chorus,Wrecking Ball
Bush,"1,5,6,4",Intro and Verse,Glycerine
Taeyang,"1,5,6,4",Intro,Wedding Dress
Patent Pending,"1,5,6,4",Chorus,Hey Mario
Chris Tomlin,"1,5,6,4",Chorus,Our God
Bob Dylan,"1,5,6,4",Intro and Verse,Don't Think Twice It's Alright
Joan Osborne,"1,5,6,4",Intro,One of Us
Globus,"1,5,6,4",Intro,Europa
Globus,"1,5,6,4",Verse,Europa
Globus,"1,5,6,4",Chorus,Europa
Globus,"1,5,6,4",Chorus Lead-Out,Europa
Globus,"1,5,6,4",Pre-Chorus,Europa
Bruce Rowland,"1,5,6,4",Intro and Verse,Jessica's Theme
Steve Winwood,"1,5,6,4",Chorus,Higher Love
Danny McCarthy,"1,5,6,4",Intro,Silver Scrapes
Danny McCarthy,"1,5,6,4",Verse,Silver Scrapes
GG feat Gary Wright and Baby Brown ,"1,5,6,4",Chorus,My My My
Klaas,"1,5,6,4",Intro and Verse,Heartbeat
nigahiga,"1,5,6,4",Chorus,Nice Guys
Mayhem,"1,5,6,4",Intro,Eggs -Furries In A Blender RMX-
Mayhem,"1,5,6,4",Pre-Chorus,Eggs -Furries In A Blender RMX-
Katy Perry,"1,5,6,4",Verse,Unconditionally
Neighborhood Annoyance ,"1,5,6,4",Solo,ICE CREAM TRUCK
Josh Groban,"1,5,6,4",Chorus,You Raise Me Up
The Offspring,"1,5,6,4",Verse,You're Gonna Go Far Kid
The Offspring,"1,5,6,4",Pre-Chorus and Chorus,You're Gonna Go Far Kid
Bruce Dickinson,"1,5,6,4",Chorus,Tears of The Dragon
Manowar,"1,5,6,4",Chorus,Master of the wind
Iron Maiden,"1,5,6,4",Chorus,Blood Brothers
Iron Maiden,"1,5,6,4",Verse and Pre-Chorus,No more lies
Braken,"1,5,6,4",Intro and Verse,To The Stars
Orchestral Manoeuvres in the Dark,"1,5,6,4",Intro,Electricity
Bob Dylan,"1,5,6,4",Chorus,Don't Think Twice It's Alright
Luke Bryan,"1,5,6,4",Verse,Crash My Party
Pegboard Nerds,"1,5,6,4",Chorus,Self Destruct
The Wanted,"1,5,6,4",Chorus,We Own The Night
Avicii,"1,5,6,4",Intro and Verse,Hey Brother
Pegboard Nerds and Tristam,"1,5,6,4",Verse,Razor Sharp
the Sing Team,"1,5,6,4",Chorus,Satisfied in You
Eagle Eye Cherry,"1,5,6,4",Intro,Save Tonight
Alex Lloyd,"1,5,6,4",Chorus,Amazing
Natalie Imbruglia,"1,5,6,4",Chorus,Torn
Natalie Imbruglia,"1,5,6,4",Outro,Torn
Switchfoot,"1,5,6,4",Intro,Your Love is a Song
Jimi Hendrix,"1,5,6,4",Intro and Verse,Bold as love
Jimi Hendrix,"1,5,6,4",Chorus,Bold as love
Tan Bionica,"1,5,6,4",Pre-Chorus and Chorus,Ciudad Magica
A Great Big World,"1,5,6,4",Intro,Say Something
Israel Kamakawiwoole,"1,5,6,4",Intro,Somewhere Over the Rainbow
Israel Kamakawiwoole,"1,5,6,4",Verse,Somewhere Over the Rainbow
Israel Kamakawiwoole,"1,5,6,4",Bridge,Somewhere Over the Rainbow
MistFolk,"1,5,6,4",Pre-Chorus and Chorus,Storm Spirits
Enya,"1,5,6,4",Verse,May It Be
Imagine Dragons,"1,5,6,4",Intro and Verse,Demons
Imagine Dragons,"1,5,6,4",Pre-Chorus and Chorus,Demons
Tamas Wells,"1,5,6,4",Verse and Pre-Chorus,From Prying Plans into the Fire
Klingande,"1,5,6,4",Verse,Punga
Iron Maiden,"1,5,6,4",Verse and Pre-Chorus,The Wicker Man
Scorpions,"1,5,6,4",Chorus,Still loving you
Idina Menzel,"1,5,6,4",Chorus,Let It Go
UNiTE,"1,5,6,4",Chorus,Ai -'ation-
Adel Tawil,"1,5,6,4",Verse,Lieder
Hollywood Undead,"1,5,6,4",Chorus,Bullet
Paris Hilton,"1,5,6,4",Chorus,Nothing In This World
Miriam Bryant,"1,5,6,4",Chorus,Push Play
Hampton the Hampster,"1,5,6,4",Chorus,Hampster Dance
John Denver,"1,5,6,4",Chorus,Take Me Home - Country Roads
Nightwish,"1,5,6,4",Intro and Verse,Last Of the Wilds
Brad Paisley and Alison Krauss,"1,5,6,4",Chorus,Whiskey Lullaby
Dj Fortify,"1,5,6,4",Solo 1,PEWDIEPIE Song
Dj Fortify,"1,5,6,4",Solo 2,PEWDIEPIE Song
Alligatoah,"1,5,6,4",Intro,Willst Du
Alligatoah,"1,5,6,4",Chorus,Willst Du
Ozzy Osbourne,"1,5,6,4",Intro,Crazy Train
Zedd-ft-Foxes,"1,5,6,4",Chorus,Clarity Vicetone Remix 
Bonnie Mckee,"1,5,6,4",Verse,American Girl
Kanye West,"1,5,6,4",Chorus,Runaway
Gary Allan,"1,5,6,4",Chorus,Smoke Rings in the Dark
Flo RIda,"1,5,6,4",Chorus,Whistle
YB,"1,5,6,4",Intro and Verse,Flying Butterfly
YB,"1,5,6,4",Pre-Chorus,Flying Butterfly
YB,"1,5,6,4",Chorus,Flying Butterfly
The Offspring,"1,5,6,4",Verse,Self Esteem
Sanna Nielsen,"1,5,6,4",Chorus,Undo
Alligatoah,"1,5,6,4",Pre-Chorus and Chorus,Narben
Daddy Yankee,"1,5,6,4",Chorus,Limbo
The Beatles,"1,5,6,4",Verse,Oh Darling
Tiesto,"1,5,6,4",Chorus,Red Lights
The Script,"1,5,6,4",Intro,Hall of Fame
The Script,"1,5,6,4",Chorus,Hall of Fame
Judas Priest,"1,5,6,4",Verse and Pre-Chorus,Breaking The Law
John Legend,"1,5,6,4",Intro and Verse,All of Me
John Legend,"1,5,6,4",Pre-Chorus and Chorus,All of Me
Murray Gold,"1,5,6,4",Verse,The Doctor's Theme Series 4
The All-American Rejects,"1,5,6,4",Verse,Dirty Little Secret
Florida Georgia Line,"1,5,6,4",Chorus,Cruise
Red Hot Chili Peppers,"1,5,6,4",Verse,Under The Bridge
Red Hot Chili Peppers,"1,5,6,4",Chorus,Under The Bridge
All Levels at Once,"1,5,6,4",Chorus,Phoenix
Fergie,"1,5,6,4",Chorus,Big Girls Don't Cry
Kelly Clarkson,"1,5,6,4",Pre-Chorus and Chorus,Breakaway
Austra,"1,5,6,4",Chorus,Painful Like
HertzDevil,"1,5,6,4",Intro,Blueshift Galaxy
Scott McKenzie,"1,5,6,4",Chorus,San Francisco
Alexandra Stan,"1,5,6,4",Chorus,Get Back ASAP
Black Eyed Peas,"1,5,6,4",Chorus,Where Is The Love
Howard Shore,"1,5,6,4",Outro,Bridge of Khazad-dum
Harry Gregson-Williams,"1,5,6,4",Outro,Metal Gear
Justice Crew,"1,5,6,4",Instrumental,Que Sera
Shakira,"1,5,6,4",Chorus,Whenever Wherever
Shakira,"1,5,6,4",Instrumental,Whenever Wherever
Michael Walthius,"1,5,6,4",Chorus,Dreaming in Stereo - Under The Moon
Les Friction,"1,5,6,4",Chorus,What You Need
John O'Callaghan ft Sarah Howells,"1,5,6,4",Verse and Pre-Chorus,Find Yourself
Nightwish,"1,5,6,4",Bridge,The Poet and the Pendulum
Olly Murs ,"1,5,6,4",Chorus,Dear Darlin
Fall Out Boy,"1,5,6,4",Verse,Young Volcanoes
Fall Out Boy,"1,5,6,4",Pre-Chorus,Young Volcanoes
Enrique ft Descemer Bueno Gente De Zona,"1,5,6,4",Verse and Pre-Chorus,Bailando Espanol
Enrique ft Descemer Bueno Gente De Zona,"1,5,6,4",Chorus,Bailando Espanol
Kors-K--DJ-Command,"1,5,6,4",Chorus,Smooooch---Akiba-Kobo-Remix-
Neo Cortex,"1,5,6,4",Chorus,Elements 2004
Neo Cortex,"1,5,6,4",Chorus,Elements
Neo Cortex,"1,5,6,4",Verse,Elements
Technikal and Nathalie ,"1,5,6,4",Chorus,Big Sky
Neo Cortex,"1,5,6,4",Instrumental,Elements
Lana Del Rey,"1,5,6,4",Verse,Old Money
A Great Big World,"1,5,6,4",Chorus,Say Something
Avicii,"1,5,6,4",Pre-Chorus and Chorus,Father Told Me
Roomie,"1,5,6,4",Chorus,How To Make A Number One Song Without Talent
Avicii,"1,5,6,4",Chorus,The Days
Avicii,"1,5,6,4",Instrumental,The Nights FIFA 15 Soundtrack
3OH3,"1,5,6,4",Chorus,Don't Trust Me
Fountains Of Wayne,"1,5,6,4",Chorus,Stacy's Mum
The Calling,"1,5,6,4",Chorus,Wherever You Will Go
Calvin Harris,"1,5,6,4",Chorus,I Need Your Love
Calvin Harris,"1,5,6,4",Intro,I Need Your Love
Justice Crew,"1,5,6,4",Chorus,Que Sera
Bastille,"1,5,6,4",Verse,What Would You Do
Bastille,"1,5,6,4",Chorus,What Would You Do
Taylor Swift,"1,5,6,4",Chorus,Bad Blood
The Divine Comedy,"1,5,6,4",Bridge,At The Indie Disco
The Gaslight Anthem,"1,5,6,4",Verse,The Spirit of Jazz
The Gaslight Anthem,"1,5,6,4",Verse,The Navesink Banks
Echosmith,"1,5,6,4",Chorus,Cool Kids
The Gaslight Anthem,"1,5,6,4",Verse,Have Mercy
Echosmith,"1,5,6,4",Intro,Cool Kids
Jimi Hendrix,"1,5,6,4",Verse,Bold As Love
Biffy Clyro,"1,5,6,4",Verse,The Captain
The Gaslight Anthem,"1,5,6,4",Chorus,45
Tomas Danko,"1,5,6,4",Verse,Plastic Pop
Martin Tungevaag,"1,5,6,4",Solo,Wicked Wonderland
Soldat Louis,"1,5,6,4",Chorus,Tirer des caisses
John Murphy,"1,5,6,4",Instrumental,Sunshine
The Gaslight Anthem,"1,5,6,4",Chorus,Rollin' And Tumblin'
Men At Work,"1,5,6,4",Chorus,Land Down Under
Caramell,"1,5,6,4",Chorus,Caramelldansen
Michael Buble,"1,5,6,4",Verse,It's a Beautiful Day
Vangelis,"1,5,6,4",Intro and Verse,Hymne
Wyclef Jean,"1,5,6,4",Verse,Divine Sorrow
Breeze vs UFO and Lost Witness,"1,5,6,4",Intro,Love To The Stars - Azora Remix
Alice Cooper,"1,5,6,4",Pre-Chorus and Chorus,Poison
The Pogues and Kirsty MacColl,"1,5,6,4",Verse,Fairytale of New York
Owl City,"1,5,6,4",Pre-Chorus,When Can I See You Again
Owl City,"1,5,6,4",Chorus,When Can I See You Again
The Beatles,"1,5,6,4",Verse and Pre-Chorus,I Should Have Known Better
Jay Sean,"1,5,6,4",Chorus,Down
Teddybears,"1,5,6,4",Chorus,Hey Boy
Motoi Sakuraba,"1,5,6,4",Verse,The Imperial City
Gregory Alan Isakov,"1,5,6,4",Verse,The Stable Song
Crayon Shin Chan,"1,5,6,4",Chorus,Party Join Us
Coldplay,"1,5,6,4",Bridge,Fix You
Sia,"1,5,6,4",Chorus,Elastic Heart
Nelly,"1,5,6,4",Chorus,Just A Dream
Sia,"1,5,6,4",Pre-Chorus,Elastic Heart
One Direction,"1,5,6,4",Verse,Nobody Compares
Mark Forster feat Sido,"1,5,6,4",Instrumental,Au Revoir
One Direction ,"1,5,6,4",Chorus,Night Changes 
Strong Bad,"1,5,6,4",Chorus,The Cheat is Not Dead
One Direction,"1,5,6,4",Pre-Chorus,Heart Attack 
The Living End,"1,5,6,4",Chorus,Who's Gonna Save Us
Maroon 5,"1,5,6,4",Pre-Chorus,She Will Be Loved
Weezer,"1,5,6,4",Chorus,No One Else
Harry Gregson-Williams,"1,5,6,4",Outro 1,Metal Gear
Grateful Dead,"1,5,6,4",Verse and Pre-Chorus,Sugaree
Agnes,"1,5,6,4",Chorus,Right Here Right Now
Sia,"1,5,6,4",Verse,Elastic Heart
Robin Schulz ft Jasmine Thompson,"1,5,6,4",Verse,Sun Goes Down
Robin Schulz ft Jasmine Thompson,"1,5,6,4",Pre-Chorus,Sun Goes Down
Eagle Eye Cherry,"1,5,6,4",Chorus,Save Tonight
Sia,"1,5,6,4",Chorus Lead-Out,Elastic Heart
Madeon,"1,5,6,4",Outro,Technicolor
Kelly Clarkson,"1,5,6,4",Chorus,Heartbeat Song
The Horrible Crowes,"1,5,6,4",Intro and Verse,Crush
The Horrible Crowes,"1,5,6,4",Outro,Crush
Calvin Harris,"1,5,6,4",Pre-Chorus,I Need Your Love
Taylor Swift,"1,5,6,4",Chorus,Mean
Robert Plant and Alison Krauss,"1,5,6,4",Verse,Gone Gone Gone
Jordin Sparks,"1,5,6,4",Chorus,Battlefield
Arthur,"1,5,6,4",Chorus,Beginning of time
Carly Rae Jepsen,"1,5,6,4",Chorus,I Really Like You
Tristam and Braken,"1,5,6,4",Chorus,Far Away
Franck Keller and Ygal Ama,"1,5,6,4",Intro,Code Lyoko Theme
Built By Titan,"1,5,6,4",Pre-Chorus,Heart And Soul
Jonathan Mann,"1,5,6,4",Chorus,Hey Defriender
Phineas and Ferb,"1,5,6,4",Chorus,Frenemies
Carrie Underwood,"1,5,6,4",Chorus,Good Girl
Bambee,"1,5,6,4",Chorus,Cowgirl
Steerner ft Corey Saxon,"1,5,6,4",Verse and Pre-Chorus,Sparks
The Electric Warehouse,"1,5,6,4",Chorus,The Hero
Miriam Bryant,"1,5,6,4",Verse and Pre-Chorus,Dragon
Miriam Bryant,"1,5,6,4",Chorus,Dragon
Daze,"1,5,6,4",Chorus,Sea Of Love -Remix-
Daze,"1,5,6,4",Verse and Pre-Chorus,Sea Of Love -Remix-
Martin Garrix,"1,5,6,4",Intro,Don't Look Down feat Usher
Alphabeat,"1,5,6,4",Chorus,Vacation
The Mighty Mighty Bosstones,"1,5,6,4",Chorus,So Sad To Say
Emilie Autumn,"1,5,6,4",Chorus,What If
Lost Frequencies,"1,5,6,4",Chorus,Are You With Me
Joss Whedon,"1,5,6,4",Verse,Going Through The Motions
The Mighty Mighty Bosstones,"1,5,6,4",Chorus,A Jackknife to a Swan
Sara Bareilles,"1,5,6,4",Verse,Uncharted
The Band Perry,"1,5,6,4",Chorus,If I Die Young
Rob Abernethy,"1,5,6,4",Verse,A Walk In The Shire
Sum 41,"1,5,6,4",Chorus,No Reason
Irish Stew of Sindidun,"1,5,6,4",Verse and Pre-Chorus,I Will Never Be Your Friend
Test 1,"1,5,6,4",Intro,Greek
Aimee Mann,"1,5,6,4",Verse,Ghost World
Patent Pending,"1,5,6,4",Bridge,Hey Mario
Big Dope P,"1,5,6,4",Pre-Chorus,Hit Da Blokk
Blink 182,"1,5,6,4",Verse,Give Me One Good Reason
Hudson Mohawke,"1,5,6,4",Pre-Chorus,Fuse
toto,"1,5,6,4",Intro,toto africa
Skylar Grey,"1,5,6,4",Verse,I Know You - Fifty Shades Of Grey
Weezer,"1,5,6,4",Intro and Verse,My Name Is Jonas
Rick Springfield,"1,5,6,4",Intro and Verse,Jessie's Girl
MitiS,"1,5,6,4",Bridge,Vulnerability
MitiS,"1,5,6,4",Chorus,Born
Katy Perry,"1,5,6,4",Bridge,Hot N Cold
Dash Berlin,"1,5,6,4",Chorus,World Falls Apart - Thomas Gold Remix
Tenacious D,"1,5,6,4",Chorus Lead-Out,Beelzeboss
Sia,"1,5,6,4",Chorus,Alive
Madonna,"1,5,6,4",Verse and Pre-Chorus,The Power Of Goodbye
Avicii,"1,5,6,4",Intro and Verse,Broken Arrows
Pegboard Nerds,"1,5,6,4",Verse,Ner Style
George Ezra,"1,5,6,4",Intro and Verse,Song 6
Adele,"1,5,6,4",Chorus,Hello
Alligatoah,"1,5,6,4",Chorus,Lass Liegen
Lynyrd Skynyrd,"1,5,6,4",Intro,Tuesday's Gone
TheFatRat,"1,5,6,4",Intro,Windfall
marny kennedy,"1,5,6,4",Intro,It's My Life
Antonim,"1,5,6,4",Chorus,Melancholy Soldier
marny kennedy,"1,5,6,4",Chorus,It's My Life
marny kennedy,"1,5,6,4",Pre-Outro,It's My Life
Tool,"1,5,6,4",Chorus,Aenima
OMI,"1,5,6,4",Pre-Chorus,Hula Hoop
Saigon Kick,"1,5,6,4",Chorus,Love Is On The Way
Runaground and Disco Fries,"1,5,6,4",Chorus,Stars Come Out
Love and Theft,"1,5,6,4",Chorus,Angel Eyes
Diplo and Sleepy Tom,"1,5,6,4",Pre-Chorus,Be Right There
Fountains of Wayne,"1,5,6,4",Verse,Hey Julie
Riggi and Piros,"1,5,6,4",Verse,Knightlife
Rachel Platten,"1,5,6,4",Chorus,Fight Song
John Hiatt,"1,5,6,4",Chorus,Cry Love
Lady Gaga,"1,5,6,4",Chorus,Second Time Around
Lady Gaga,"1,5,6,4",Chorus,Heavy Metal Lover
Lady Gaga,"1,5,6,4",Chorus,Dance In The Dark
Taio Cruz,"1,5,6,4",Chorus,Break Your Heart
Franck Keller and Ygal Ama,"1,5,6,4",Pre-Chorus and Chorus,Code Lyoko Theme
ryo,"1,5,6,4",Verse,Black Rock Shooter
4 Strings,"1,5,6,4",Pre-Chorus and Chorus,Take Me Away
Nicky Jam and Enrique Iglesias,"1,5,6,4",Chorus,El Perdon
Teddyloid,"1,5,6,4",Intro,MEMEME Final Part
Justin Bieber,"1,5,6,4",Pre-Chorus and Chorus,Love Yourself
Nightwish,"1,5,6,4",Outro,Amaranth
Pink,"1,5,6,4",Intro,Try
Pink,"1,5,6,4",Verse,Try
Pink,"1,5,6,4",Chorus,Try
Taylor Swift,"1,5,6,4",Intro,Bad Blood
Blink 182,"1,5,6,4",Intro,Dammit
Florida Georgia Line,"1,5,6,4",Intro and Verse,Get Your Shine On
carly ray,"1,5,6,4",Chorus,I JUST MET YOU
Deuce,"1,5,6,4",Chorus,The One
Toru Minegishi,"1,5,6,4",Verse,Splatfest Battle - Ink Me Up
Palm Trees,"1,5,6,4",Chorus,Casanova
Project 46,"1,5,6,4",Intro,Forgettable
Icelandic Folk,"1,5,6,4",Instrumental,Islandsljod
DECO 27,"1,5,6,4",Chorus,Streaming Heart
The Police,"1,5,6,4",Verse,So Lonely
The Police,"1,5,6,4",Chorus,So Lonely
Robyn,"1,5,6,4",Verse,Call Your Girlfriend
UFO,"1,5,6,4",Intro and Verse,Doctor Doctor
Kenshi Yonezu,"1,5,6,4",Chorus,Wooden Doll
Adele,"1,5,6,4",Bridge,Hello
Richard Marx,"1,5,6,4",Chorus,Richard Marx - Right Here Waiting
Richard Marx,"1,5,6,4",Chorus,Right Here Waiting
Alan Walker,"1,5,6,4",Chorus,Faded
Basshunter,"1,5,6,4",Intro,DotA
Toru Minegishi,"1,5,6,4",Chorus,Splatfest Battle - Ink Me Up
No Doubt,"1,5,6,4",Intro,Spiderwebs
No Doubt,"1,5,6,4",Pre-Chorus and Chorus,Spiderwebs
Brand New,"1,5,6,4",Bridge,Not the Sun
Nightwish,"1,5,6,4",Verse and Pre-Chorus,Wish I Had An Angel
Relient K,"1,5,6,4",Pre-Chorus,Be My Escape
Nightwish,"1,5,6,4",Intro,Ever Dream
The Killers,"1,5,6,4",Chorus,Human
The Teddy Bears,"1,5,6,4",Verse,To Know Him Is To Love Him
Blink 182,"1,5,6,4",Chorus,Bored To Death
Beck,"1,5,6,4",Verse and Pre-Chorus,Blue Moon
Shinichi Sakamoto,"1,5,6,4",Verse,Side-Crawler's Dance
Alan Walker,"1,5,6,4",Verse,Faded
nanobii,"1,5,6,4",Chorus,HYPER DRIVE
Nintendo,"1,5,6,4",Chorus,GBA Sky Garden - Mario Kart DS
Pepper Coyote,"1,5,6,4",Chorus,No Cock Like Horse Cock
Toby Fox,"1,5,6,4",Verse,Stronger Monsters
ItaloBrothers,"1,5,6,4",Verse,Sleep When We're Dead
ItaloBrothers,"1,5,6,4",Pre-Chorus,Sleep When We're Dead
ItaloBrothers,"1,5,6,4",Verse and Pre-Chorus,Sleep When We're Dead
Carly Rae Jepsen,"1,5,6,4",Chorus,Your Type
Wilco,"1,5,6,4",Intro and Verse,Poor Places
Wilco,"1,5,6,4",Verse,Poor Places
