0,cp,section,song,type,song (last.fm),artist (last.fm),listener count (last.fm),play count (last.fm),genre (last.fm)
Calvin Harris,"1,2,6",Instrumental,CUBA,3 chord,Cuba,Calvin Harris,355,1694,"electronic music, derzota"
Calvin Harris,"1,2,4",Chorus,Drinking From the Bottle,3 chord,Drinking from the Bottle,Calvin Harris,177109,844980,"dance, 2012, british, electro, Progressive House"
Calvin Harris,"6,1,4",Verse,Feel So Close,3 chord,Feel So Close,Calvin Harris,483233,3393189,"dance, electronic, pop, House, electronica"
Calvin Harris,"1,5,6",Chorus,I Need Your Love,3 chord,I Need Your Love,Calvin Harris,374216,2459597,"dance, electronic, pop, Disco, 2013"
Calvin Harris,"4,6,1",Instrumental,I'm Not Alone,3 chord,I'm Not Alone,Calvin Harris,209726,1497465,"electronic, dance, House, electro, calvin harris"
Calvin Harris,"4,5,6",Verse,Let's Go,3 chord,Let's Go,Calvin Harris,127338,555827,"dance, electronic, pop, 2012, Soundtrack"
Calvin Harris,"4,6,5",Chorus,Summer,3 chord,Summer,Calvin Harris,464528,3510647,"dance, summer, House, 2014, electronic"
Calvin Harris,"1,6,5",Verse,Sweet Nothing,3 chord,Sweet Nothing,Calvin Harris,401476,2924747,"dance, electronic, pop, british, 2012"
Calvin Harris,"4,5,1",Verse,This Is What You Came For ft Rihanna,3 chord,This Is What You Came For ft Rihanna,Calvin Harris,79,1590,
Calvin Harris,"1,5,4",Verse,We'll Be Coming Back,3 chord,We'll Be Coming Back,Calvin Harris,196914,1121195,"electronic, dance, british, spirit of summer, faszapop"
Calvin Harris Alesso,"6,5,4",Chorus,Under Control,3 chord,Under Control,Calvin Harris Alesso,15,46,
Calvin Harris and Disciples,"6,4,2",Chorus,How Deep Is Your Love,3 chord,How Deep is Your Love,Calvin Harris and Disciples,562,22192,
Camel,"1,2,6",Instrumental,Lady Fantasy,3 chord,Lady Fantasy,Camel,38661,153844,"Progressive rock, 70s, rock, Progressive, classic rock"
Cameo,"4,5,6",Chorus,Word Up,3 chord,Word Up,Cameo,222766,744476,"funk, 80s, dance, pop, rnb"
Camille,"1,6,4",Verse,Le Festin,3 chord,Le festin,Camille,36687,201139,"Soundtrack, french, Disney, ratatouille, female vocalists"
Camille Saint-Saens,"1,5,1",Chorus,Organ Symphony No 3 Op 78 - If I Had Words,3 chord,,,,,
Camo and Krooked,"4,5,6",Pre-Chorus,Run Riot,3 chord,Run Riot,Camo & Krooked,22589,97368,"Drum and bass, dubstep, Drum n Bass, drumstep, 2011"
Can,"6,5,2",Intro,Paperhouse,3 chord,Paperhouse,Can,113771,504986,"krautrock, psychedelic, Progressive rock, experimental, 70s"
Canaan Smith,"1,6,5",Chorus,Love You Like That,3 chord,Love You Like That,Canaan Smith,22485,137805,"country, modern country, 2015"
Capcom,"4,5,4",Outro,Mega Man 7 - Burst Man Stage,3 chord,,,,,
Capcom,"6,5,6",Verse,Mega Man 9 - Plug Man Stage,3 chord,Mega Man 9 - Plug Man Stage,Capcom Sound Team,1,1,
Capcom,"6,5,1",Verse,Mega Man 9 - Strange World,3 chord,,,,,
Capcom,"6,5,6",Outro,Mega Man X - Flame Mammoth,3 chord,,,,,
Capcom,"4,5,6",Outro,Mega Man X3 - Crush Crawfish Stage,3 chord,,,,,
Capcom,"4,5,6",Verse,Street Fighter Alpha - Charlie's Theme,3 chord,,,,,
Capella,"6,3,5",Bridge,U Got 2 Let The Music,3 chord,U Got 2 Let the Music,Cappella,39643,141562,"eurodance, dance, 90s, House, electronic"
Capital Cities,"1,6,5",Chorus,Safe And Sound - Dzeko and Torres Remix,3 chord,,,,,
Capital Cities,"1,6,5",Chorus,Safe and Sound,3 chord,Safe and Sound,Capital Cities,618664,5308605,"indie, electronic, pop, alternative, music choice: alternative"
Capital Kings,"1,5,2",Chorus,Live For the Drop,3 chord,Live for the Drop,Capital Kings,1785,9139,
Capsule,"1,4,5",Solo,Starry Sky,3 chord,Starry sky,Capsule,23167,315276,"electronic, japanese, j-pop, dance, electronica"
Caramell,"1,5,6",Chorus,Caramelldansen,3 chord,Caramelldansen,Caramell,28838,278498,"dance, swedish, eurodance, U-U-U-Aua, ultra brutal necrosatanic death metal"
Carly Rae Jepsen,"1,5,6",Chorus,Call Me Maybe,3 chord,Call Me Maybe,Carly Rae Jepsen,799233,7619792,"pop, dance, female vocalists, Canadian, Carly Rae Jepsen"
Carly Rae Jepsen,"1,5,6",Chorus,I Really Like You,3 chord,I Really Like You,Carly Rae Jepsen,293402,2576409,"pop, 2015, catchy, love at first listen, Love"
Carly Rae Jepsen,"6,5,4",Chorus,Making The Most Of The Night,3 chord,Making the Most of the Night,Carly Rae Jepsen,79429,771863,"love at first listen, electropop, pop, female vocalists, best of 2015"
Carly Rae Jepsen,"6,5,4",Chorus,More Than A Memory,3 chord,More Than a Memory,Carly Rae Jepsen,48622,277766,"pop, Carly Rae Jepsen, electronic, female vocalists, Hope"
Carly Rae Jepsen,"4,6,5",Intro,This Kiss,3 chord,This Kiss,Carly Rae Jepsen,109538,809951,"pop, female vocalists, electronic, dance, Canadian"
Carly Rae Jepsen,"1,5,4",Chorus,Warm Blood,3 chord,Warm Blood,Carly Rae Jepsen,78623,689486,"synthpop, love at first listen, electropop, pop, electronic"
Carly Rae Jepsen,"1,5,6",Chorus,Your Type,3 chord,Your Type,Carly Rae Jepsen,91301,998585,"love at first listen, female vocalists, synthpop, pop, electropop"
Carly Simon,"1,4,5",Chorus,With A Few Good Friends,3 chord,With A Few Good Friends,Carly Simon,5601,16792,"winnie the pooh, Soundtrack, Disney, positive, Songs About Friendship"
Carly Simon,"1,5,4",Verse and Pre-Chorus,You're So Vain,3 chord,You're So Vain,Carly Simon,315091,1450716,"70s, female vocalists, pop, singer-songwriter, rock"
Carmen Twillie,"1,4,1",Chorus,Circle Of Life,3 chord,Circle of Life,Carmen Twillie,79886,288377,"Soundtrack, Disney, the lion king, Lion King, male vocalists"
Carolina Liar,"4,1,5",Verse,I'm Not Over,3 chord,I'm Not Over,Carolina Liar,144038,970458,"alternative, indie, indie rock, rock, carolina liar"
Carolina Liar,"1,4,6",Intro,Show Me What I'm Looking For,3 chord,Show Me What I'm Looking For,Carolina Liar,164890,1062865,"alternative rock, rock, alternative, Love, carolina liar"
Carrie Underwood,"1,5,4",Bridge,Before He Cheats,3 chord,Before He Cheats,Carrie Underwood,348734,1709710,"country, Carrie Underwood, female vocalists, pop, American Idol"
Carrie Underwood,"6,1,5",Verse,Blown Away,3 chord,Blown Away,Carrie Underwood,112896,823833,"country, female vocalists, Blown away, 2012, 10s"
Carrie Underwood,"4,5,6",Chorus,Cowboy Casanova,3 chord,Cowboy Casanova,Carrie Underwood,162791,806555,"country, Carrie Underwood, female vocalists, pop, cowboy casanova"
Carrie Underwood,"1,2,16",Pre-Chorus,Ever Ever After,3 chord,Ever Ever After,Carrie Underwood,47981,247020,"Disney, Soundtrack, country, enchanted, female vocalists"
Carrie Underwood,"1,5,6",Chorus,Good Girl,3 chord,Good Girl,Carrie Underwood,107700,708240,"country, pop, Carrie Underwood, female vocalists, country rock"
Carrie Underwood,"1,5,6",Chorus,So Small,3 chord,So Small,Carrie Underwood,102827,554756,"country, female vocalists, Carrie Underwood, pop, so small"
Cartoon Network - Steve Patrick,"6,5,2",Verse,My Best Friend Plank,3 chord,,,,,
Cartoons,"1,5,1",Chorus,Ekkosangen,3 chord,Ekkosangen,Cartoons,11,97,
Cartoons,"1,5,6",Chorus,Witch Doctor,3 chord,Witch Doctor,Cartoons,16052,79296,"pop, funny, cheese, party, halloween"
Cascada,"1,5,6",Chorus,Every Time We Touch,3 chord,Everytime We Touch,Cascada,312733,1987967,"dance, pop, techno, trance, electronic"
Cash Cash,"4,5,6",Chorus,Overtime,3 chord,Overtime,Cash Cash,28535,158531,"Workout, Overtime"
Cash Cash ft Bebe Rexha,"1,2,6",Verse,Take Me Home,3 chord,Take Me Home,Cash Cash,7649,47043,"electronic, pop, dance, epic, shout"
Cashmere Cat,"6,4,2",Chorus,Paws,3 chord,Paws,Cashmere Cat,29103,102483,"cute, goeiepoep, future bass, future beats"
Caspar Babypants,"1,6,5",Chorus,Googly Eyes,3 chord,Googly Eyes,Caspar Babypants,1071,4854,
Casting Crowns,"1,5,6",Verse,Joy to the World - Christmas,3 chord,,,,,
Casting Crowns,"1,5,6",Verse,O Come All Ye Faithful - Christmas,3 chord,,,,,
Cat Stevens,"1,5,1",Verse,Peace Train,3 chord,Peace Train,Cat Stevens,246251,1024673,"folk, singer-songwriter, 70s, classic rock, folk rock"
Cat Stevens,"1,5,4",Chorus,Wild World,3 chord,Wild World,Cat Stevens,552511,2927288,"folk, 70s, classic rock, singer-songwriter, Cat Stevens"
Catch 22,"1,5,4",Intro,Keasbey Nights,3 chord,Keasbey Nights,Catch 22,101357,519864,"ska, ska punk, punk, Catch 22, punk rock"
Caught A Ghost,"1,5,2",Instrumental,Time Go,3 chord,Time Go,Caught a Ghost,24749,160050,"suits, chillout, Soundtrack, Hip-Hop, jazz"
Cave Story,"6,5,6",Outro,Eyes of Flame,3 chord,Eyes Of Flame,Cave Story,42,253,
Cave Story,"4,5,4",Intro and Verse,Last Cave,3 chord,Last Cave,Cave Story,34,219,
Cave Story,"6,4,5",Chorus,Main Theme,3 chord,Main Theme,Cave Story,33,67,
Cave Story,"4,5,4",Verse,On To Grasstown,3 chord,On To Grasstown,Cave Story,198,858,
Cave Story,"6,5,6",Verse,Running Hell,3 chord,Running Hell,Cave Story,139,853,
Cee Lo Green,"4,5,1",Intro,Forget You,3 chord,Forget You,CeeLo Green,159391,915016,"fuck you, u, forget you, jazzysrnbpop"
CeeLo,"5,1,2",Chorus,Sign of the Times,3 chord,,,,,
Celia Cruz,"4,6,4",Intro,La Vida Es Un Carnaval,3 chord,La Vida Es Un Carnaval,Celia Cruz,99736,325862,"salsa, latin, cuban, cuba, spanish"
Celine Dion,"1,5,4",Verse,My Heart Will Go On,3 chord,My Heart Will Go On,Céline Dion,325097,1746819,"pop, Soundtrack, Celine Dion, female vocalists, titanic"
Celine Dion,"1,4,6",Chorus,That's the Way It Is,3 chord,That's the Way It Is,Céline Dion,125650,626849,"pop, Celine Dion, female vocalists, 90s, Canadian"
Central Unit,"4,5,6",Intro,Saturday Nite,3 chord,Saturday Nite,Central Unit,2020,6528,"new wave, post-punk, 80's, cold wave, synth-pop"
Ceoma feat The Larx,"1,5,1",Instrumental,Love Is More -Rob Mayth Remix-,3 chord,,,,,
Cern,"6,4,5",Chorus,The Message - Northern Mix,3 chord,,,,,
Chain Reaction,"6,3,2",Solo,Barricades,3 chord,,,,,
Chairlift,"1,6,1",Verse,Evident Utensil,3 chord,Evident Utensil,Chairlift,94266,409547,"indie, female vocalists, electronic, sythn, synthpop"
Chalk Zone,"1,4,1",Bridge,The Amazin' River,3 chord,,,,,
Chance Thomas,"1,5,4",Solo 3,Silent Hope,3 chord,Silent Hope,Chance Thomas,379,1955,"video game music, lord of the rings, Tolkien, lotr, jrr tolkien"
Chance the Rapper,"4,6,5",Chorus,Same Drugs,3 chord,Same Drugs,Chance the Rapper,127617,792365,"Hip-Hop, gospel, soul, fip, banned"
Charles Jenkins,"1,5,6",Verse,Awesome,3 chord,Awesome,Charles Jenkins,34,409,
Charles Wright,"1,4,5",Intro,Express Yourself,3 chord,Express Yourself,Charles Wright,44571,139869,"funk, soul, funky, GTA, pop"
Charles Wright - The Watts 103rd Street Rhythm Ban,"1,4,5",Intro,Express Yourself,3 chord,,,,,
Charley Patton,"5,1,5",Verse,Pony Blues,3 chord,Pony Blues,Charley Patton,28621,60614,"blues, delta blues, Charley Patton, folk, acoustic blues"
Charli XCX,"1,6,4",Chorus,Boom Clap,3 chord,Boom Clap,Charli XCX,346752,2848197,"pop, electropop, 2014, best of 2014, fav888"
Charli XCX,"1,5,2",Chorus,Need Ur Luv,3 chord,Need Ur Luv,Charli XCX,41331,287906,"pop, lovely, cool, i need your love, female vocalists"
Charli XCX,"1,5,2",Chorus,Nuclear Seasons,3 chord,Nuclear Seasons,Charli XCX,123949,901332,"pop, electronic, female vocals, electropop, fav888"
Charlie Puth,"1,5,1",Chorus,One Call Away,3 chord,One Call Away,Charlie Puth,144431,861810,"pop, Awesome, great lyrics, Ballad, Favorite"
Charlie Schmidt,"1,6,5",Verse,Keyboard Cat,3 chord,keyboard cat,Charlie Schmidt,57,176,
Charlotte Gainsbourg,"1,5,2",Verse,Hey Joe ,3 chord,,,,,
Chase Holfelder,"1,5,6",Pre-Chorus,I Want You to Want Me in Minor Key,3 chord,,,,,
Chase and Status,"4,6,5",Chorus,Blind Faith,3 chord,Blind Faith,Chase & Status,163448,980366,"dubstep, Drum and bass, electronic, dance, 1Live Fiehe"
Chase and Status,"4,5,6",Chorus,Time,3 chord,Time,Chase & Status,70967,485333,"Drum and bass, electronic, female vocalists, dubstep, dnb"
Cheap Trick,"1,5,4",Verse,Surrender,3 chord,Surrender,Cheap Trick,330653,1476159,"classic rock, rock, 70s, power pop, Guitar Hero"
Cheat Codes and Dante Klein,"6,4,1",Chorus,Let Me Hold You - Turn Me On,3 chord,,,,,
Cheat Codes and Kris Kross Amsterdam,"4,1,5",Verse,Sex,3 chord,Sex,Cheat Codes and Kris Kross Amsterdam,76,414,
Chef Boyardee,"6,5,1",Verse,Rolling Can,3 chord,,,,,
Chelsea Moon,"1,4,5",Verse,Be Thou My Vision,3 chord,Be Thou My vision,Chelsea Moon,48,131,
Chelsea Ward,"1,5,6",Verse,That's Falling in Love,3 chord,That's Falling in Love,Chelsea Ward,432,3292,
Cher,"1,5,2",Chorus,Believe,3 chord,Believe,Cher,487693,2393431,"pop, dance, 90s, cher, female vocalists"
Cher,"6,3,6",Chorus,Gypsys Tramps and Thieves,3 chord,Gypsys tramps and thieves,Cher,1027,4428,pop
Cher,"4,1,5",Verse,Half Breed,3 chord,Half Breed,Cher,5641,22505,"70s, female vocalist, pop, soft rock, 80s"
Cher Lloyd,"6,5,1",Chorus,Want U Back,3 chord,Want U Back,Cher Lloyd,227057,1487925,"pop, cher lloyd, dance, british, hip hop"
Cher Lloyd feat Becky G,"1,4,6",Chorus,Oath,3 chord,Oath,Cher Lloyd,22755,136989,"female vocalists, cher lloyd, electronic, pop, british"
Cheryl Cole,"1,4,6",Chorus,Call My Name,3 chord,Call My Name,Cheryl Cole,43419,711361,"pop, dance, british, farofa, party"
Cheryl Cole,"1,5,1",Pre-Chorus and Chorus,Fight For This Love,3 chord,Fight for This Love,Cheryl Cole,343734,2410943,"pop, cheryl cole, female vocalists, british, dance"
Cheryl Cole,"1,5,6",Verse,Parachute,3 chord,Parachute,Cheryl Cole,217927,1688977,"pop, cheryl cole, british, female vocalists, rnb"
Chet Faker,"1,5,2",Intro,Talk is cheap,3 chord,Talk Is Cheap,Chet Faker,252793,1737461,"electronic, alternative, trip-hop, chillout, electronica"
Chevelle,"4,5,6",Chorus,Closure,3 chord,Closure,Chevelle,204564,900933,"alternative rock, rock, chevelle, hard rock, alternative"
Chicago,"1,5,4",Chorus,25 or 6 to 4,3 chord,25 Or 6 To 4,Chicago,198215,745062,"classic rock, 70s, rock, chicago, brass"
Chicago,"1,6,4",Outro,You're The Inspiration,3 chord,You're the Inspiration,Chicago,162765,631721,"80s, classic rock, soft rock, rock, pop"
Chicane and Ferry Corsten,"1,5,6",Chorus,One Thousand Suns - Soundprank Remix,3 chord,,,,,
Chiddy Bang,"1,5,4",Chorus,Mind Your Manners,3 chord,Mind Your Manners,Chiddy Bang,17663,108868,"rap, indietronica, Indie Hip Hop, 2012, pop rap"
Chiddy Bang,"6,4,1",Intro,Opposite of Adults,3 chord,Opposite of Adults,Chiddy Bang,347738,2053801,"Hip-Hop, rap, chiddy bang, hip hop, electronic"
Chilly Gonzales,"6,2,5,6",Pre-Chorus,Othello,4 chord,Othello,Gonzales,23169,124829,"instrumental, piano, 1307fh"
Chino y Nacho,"1,5,4",Chorus,El Poeta,3 chord,El Poeta,Chino y Nacho,841,5561,el poeta
Chino y Nacho,"4,5,6",Chorus,Tu Angelito,3 chord,Tu Angelito,Chino y Nacho,1965,12728,"Reggaeton, top, el vrother"
Chipzel,"4,5,6",Chorus,Courtesy,3 chord,Courtesy,Chipzel,11488,72645,"chiptune, electronic, video game music, Soundtrack, indie"
Chipzel,"1,6,4",Chorus,Otis,3 chord,Otis,Chipzel,8839,50737,"chiptune, electronic, Soundtrack, indie, british"
Chipzel,"4,5,6",Chorus Lead-Out,Super Hexagon Theme 1,3 chord,,,,,
Choucho,"1,4,5",Chorus,Yasashisa no Riyuu-Hyouka-OP,3 chord,,,,,
Chris Brown,"4,5,6",Verse,Beautiful People,3 chord,Beautiful People,Chris Brown,109576,640794,"electronic, dance, 2011, Chris Brown, electro house"
Chris Brown,"1,5,4",Verse,With You,3 chord,With You,Chris Brown,592508,2607586,"rnb, Chris Brown, Love, Hip-Hop, pop"
Chris Brown,"1,4,5",Chorus,Yeah 3x,3 chord,Yeah 3X,Chris Brown,248400,1520074,"dance, Chris Brown, pop, rnb, male vocalists"
Chris De Burgh,"4,5,6",Pre-Chorus and Chorus,Lady In Red,3 chord,Lady in Red,Chris de Burgh,72188,295448,"80s, pop, romantic, soft rock, love songs"
Chris Tomlin,"1,5,6",Chorus,Our God,3 chord,Our God,Chris Tomlin,40010,280104,"christian, worship, Chris Tomlin, Our God, gospel"
Christina Aguilera,"6,4,2",Chorus,Beautiful,3 chord,Beautiful,Christina Aguilera,587341,3386886,"pop, female vocalists, Christina Aguilera, beautiful, Ballad"
Christina Aguilera,"1,2,4",Chorus,Fighter,3 chord,Fighter,Christina Aguilera,480063,3272608,"pop, female vocalists, Christina Aguilera, rock, rnb"
Christina Aguilera,"6,5,4",Chorus,Genie In A Bottle,3 chord,Genie in a Bottle,Christina Aguilera,586530,2688610,"pop, Christina Aguilera, 90s, female vocalists, dance"
Christina Aguilera,"4,6,5",Intro,Genie in a Bottle,3 chord,Genie in a Bottle,Christina Aguilera,586530,2688610,"pop, Christina Aguilera, 90s, female vocalists, dance"
Christina Aguilera,"6,4,2",Intro,Hurt,3 chord,Hurt,Christina Aguilera,500500,3642673,"pop, female vocalists, Christina Aguilera, Ballad, sad"
Christina Aguilera,"5,1,56",Chorus,I Turn To You,3 chord,I Turn to You,Christina Aguilera,161493,889522,"pop, Christina Aguilera, female vocalists, 90s, rnb"
Christina Perri,"6,5,4",Intro,A Thousand Years,3 chord,A Thousand Years,Christina Perri,349635,2865206,"pop, Soundtrack, love at first listen, female vocalists, breaking dawn"
Christina Perri,"1,5,6",Chorus,Jar Of Hearts,3 chord,Jar of Hearts,Christina Perri,567923,3684708,"female vocalists, pop, Love, singer-songwriter, sad"
Christopher Max,"1,6,5",Chorus,Soul Glo,3 chord,Soul Glo,Christopher Max,12,163,
Christopher S,"6,1,4",Intro,Miss You Tomorrow,3 chord,Miss You Tomorrow,Christopher S,6,78,
Christopher Tin,"1,6,4",Chorus,Baba Yetu,3 chord,Baba Yetu,Christopher Tin,17125,193028,"Soundtrack, swahili, orchestral, world, video game music"
Chromeo,"1,6,1",Verse,Old 45s,3 chord,Old 45s,Chromeo,44657,239095,"Canadian, duo, electro-funk, 2014 single"
Chuck Berry,"1,5,1",Verse,Johnny B Goode,3 chord,Johnny B. Goode,Chuck Berry,670472,3090402,"Rock and Roll, classic rock, 50s, oldies, rock n roll"
Chuck Berry,"1,5,1",Chorus,Maybellene,3 chord,Maybellene,Chuck Berry,209396,658271,"Rock and Roll, 50s, rock n roll, rock, rockabilly"
Chumbawamba,"1,4,1",Intro and Verse,Tubthumping,3 chord,Tubthumping,Chumbawamba,487350,2355661,"90s, pop, alternative, rock, party"
Chvrches,"1,4,5",Chorus,Dead Air,3 chord,Dead Air,CHVRCHES,68711,393105,"synthpop, electronic, indie, 2014, Soundtrack"
Circus-P,"1,4,5",Intro,Last of Me,3 chord,Last of Me,Circus-P,472,2898,
Citizens,"1,5,4",Intro,In Tenderness,3 chord,In Tenderness,Citizens,5390,32215,"christian alternative, mars hill, worship and devotion"
Citizens,"1,4,6",Intro,Made Alive,3 chord,Made Alive,Citizens,5216,33486,mars hill
City 17,"1,6,5",Chorus,Toxin,3 chord,Toxin,City 17,307,1381,
ClariS,"4,5,3",Verse,Connect,3 chord,Connect,ClariS,17041,244449,"anime, j-pop, japanese, female vocalists, JPop"
Clean Bandit,"4,1,6",Intro,Rather Be,3 chord,Rather Be,Clean Bandit,55412,526271,"pop, best of 2014, dance, happy, dance-pop"
Clean Bandit,"4,5,6",Chorus,Stronger,3 chord,Stronger,Clean Bandit,50053,273459,"olly alexander, pop, love at first listen, electronic, electropop"
Clean Bandit ,"1,6,5",Instrumental,Rather Be,3 chord,,,,,
Clear Vu,"4,5,6",Chorus,Close To You - Re-Con Remix,3 chord,,,,,
Clint Mansell,"1,2,3",Intro,Leaving Earth ,3 chord,,,,,
Clint Mansell,"1,2,1",Instrumental,Welcome To Lunar Industries,3 chord,Welcome to Lunar Industries,Clint Mansell,89780,501354,"Soundtrack, ambient, instrumental, moon, space"
Cloud Nothings,"1,5,4",Chorus,I'm Not Part of Me,3 chord,I'm Not Part Of Me,Cloud Nothings,102931,603485,"indie rock, 2014, best of 2014, indie, alternative rock"
Cloud Nothings,"1,5,4",Chorus,Quieter Today,3 chord,Quieter Today,Cloud Nothings,56255,296019,"indie rock, indie, rock, groovy, love at first listen"
Cobra Starship,"6,1,4",Chorus,Snakes On A Plane,3 chord,Snakes on a Plane,Cobra Starship,7630,50755,"indie rock, rock, powerpop, Snakes on a Motherfucking Plane, indie"
Colbie Caillat,"4,6,5",Pre-Chorus,Realize,3 chord,Realize,Colbie Caillat,312337,1498255,"female vocalists, pop, acoustic, singer-songwriter, colbie caillat"
Colbie Callait,"4,5,1",Chorus,Fallin' For You,3 chord,Fallin' for You,Colbie Caillat,246415,1391419,"pop, female vocalists, Love, acoustic, Mellow"
Cold Chisel,"1,5,6",Verse,Khe Sanh,3 chord,Khe Sanh,Cold Chisel,20755,115444,"rock, classic rock, australian, 80s, Aussie"
Coldplay,"1,4,5",Verse,A Head Full Of Dreams,3 chord,A Head Full of Dreams,Coldplay,132304,692520,"alternative rock, british, pop rock, Awesome, party"
Coldplay,"6,2,5",Verse,Adventure Of A Lifetime,3 chord,Adventure Of A Lifetime,Coldplay,313696,2558014,"pop, alternative, rock, Disco, british"
Coldplay,"4,1,5",Intro,Amsterdam,3 chord,Amsterdam,Coldplay,620317,3608573,"rock, Coldplay, britpop, alternative, piano"
Coldplay,"1,5,4",Bridge,Charlie Brown,3 chord,Charlie Brown,Coldplay,481553,3707577,"alternative rock, rock, alternative, Coldplay, britpop"
Coldplay,"6,5,2",Verse,Don't Panic,3 chord,Don't Panic,Coldplay,1149784,8987733,"rock, alternative, Coldplay, britpop, indie"
Coldplay,"1,5,6",Bridge,Fix You,3 chord,Fix You,Coldplay,1518366,13166519,"Coldplay, rock, alternative, britpop, alternative rock"
Coldplay,"1,2,4",Verse,Green Eyes,3 chord,Green Eyes,Coldplay,789224,4968632,"rock, Coldplay, alternative, britpop, british"
Coldplay,"4,5,6",Chorus,Hymn For The Weekend,3 chord,Hymn for the Weekend,Coldplay,284251,2348719,"alternative rock, pop, alternative, happy, 2016"
Coldplay,"1,5,4",Pre-Chorus,Paradise,3 chord,Paradise,Coldplay,924949,8872249,"rock, alternative rock, british, alternative, britpop"
Coldplay,"5,4,1",Instrumental,Sky Full of Stars,3 chord,sky full of stars,Coldplay,1211,7519,
Coldplay,"1,5,2",Intro,Speed Of Sound,3 chord,Speed of Sound,Coldplay,1092728,7312732,"rock, alternative, Coldplay, britpop, alternative rock"
Coldplay,"4,5,4",Chorus,Square One,3 chord,Square One,Coldplay,629445,3455790,"rock, alternative, Coldplay, britpop, alternative rock"
Coldplay,"1,6,4",Verse,Viva La Vida,3 chord,Viva la Vida,Coldplay,1666690,15866517,"Coldplay, alternative, rock, alternative rock, viva la vida"
Cole Porter - Ella Fitzgerald,"6,2,5",Verse,So In Love,3 chord,,,,,
Coleman Hell,"1,5,4",Chorus,2 Heads,3 chord,2 Heads,Coleman Hell,93079,474011,"one hit wonder, Worst Song Ever, alternative, Canadian, not indie"
Colin Buchanan,"4,5,1",Intro and Verse,10 9 8 God is Great,3 chord,,,,,
Colin Buchanan,"6,5,4",Verse,God is Everywhere,3 chord,God is Everywhere,Colin Buchanan,107,645,
Commodores,"1,5,1",Chorus,Sail On,3 chord,Sail On,Commodores,47063,140003,"soul, 70s, quiet storm, Sail On, pop"
Conchita Wurst,"4,6,5",Chorus,Rise Like a Phoenix,3 chord,Rise Like a Phoenix,Conchita Wurst,34484,332173,"Eurovision, the worst thing ever to happen to music, anal-driven fecalomatateus, music to listen while pederasting, post-anal experience"
Conor Maynard,"4,6,1",Chorus,Turn Around,3 chord,Turn Around,Conor Maynard,11200,76464,"Disco, pop, dance, power, epic"
Conrad Sewell,"5,6,5",Verse,Who You Lovin',3 chord,Who You Lovin',Conrad Sewell,34,292,
Cool Joke,"1,4,1",Chorus,Undo-Full-Metal-Alchemist-FMA-OP3,3 chord,,,,,
Cool and Create,"1,5,6",Chorus,Help me ERINNNNNN,3 chord,,,,,
Corona,"5,2,3",Chorus,Rhythm Of The Night,3 chord,Rhythm Of The Night,Corona,57941,226475,"dance, 90s, eurodance, female vocalists, pop"
Counting Crows,"1,5,2",Verse,A Long December,3 chord,A Long December,Counting Crows,316059,1343905,"90s, rock, alternative rock, alternative, Mellow"
Counting Crows,"1,5,1",Intro,Accidentally in Love,3 chord,Accidentally in Love,Counting Crows,441013,2624013,"Soundtrack, rock, happy, Love, shrek"
Counting Crows,"1,4,6",Chorus,Anna Begins,3 chord,Anna Begins,Counting Crows,220566,1029146,"rock, alternative rock, 90s, Mellow, counting crows"
Counting Crows,"6,4,5",Intro,Mr Jones,3 chord,Mr Jones,Counting Crows,65234,265873,"rock, 90s, alternative rock, counting crows, alternative"
Counting Crows,"1,4,5",Verse,Round Here,3 chord,Round Here,Counting Crows,368082,1795233,"rock, 90s, alternative, counting crows, alternative rock"
Counting Crows,"4,1,5",Verse,Walkaways,3 chord,Walkaways,Counting Crows,68543,227577,"counting crows, rock, Mellow, alternative, alternative rock"
Covesthur,"1,4,6",Chorus,Dayresponse,3 chord,Dayresponse,Covesthur,1,3,
Covesthur,"6,5,4",Verse,Interesting Procedure,3 chord,Interesting Procedure,Covesthur,2,5,
Craig Austin,"6,4,1",Chorus,Take Flight,3 chord,,,,,
Cramp,"5,2,5",Chorus,RU116,3 chord,RU116,Cramp,4817,21109,"trance, electronic, dance, Awesome, progressive trance"
Crash Test Dummies,"1,5,1",Verse,Mmm Mmm Mmm Mmm,3 chord,Mmm Mmm Mmm Mmm,Crash Test Dummies,371838,1966311,"90s, rock, alternative, Canadian, pop"
Crayon Pop,"4,1,5",Chorus,FM,3 chord,FM,Crayon Pop,5691,88934,"k-pop, best of 2015, crayon pop, catchy, cute"
Crayon Shin Chan,"1,5,6",Chorus,Party Join Us,3 chord,Party Join Us,Crayon Shin Chan,28,119,
Crazy and Corza,"1,2,5",Chorus,Wildfire,3 chord,Wildfire,Crazy and Corza,1,1,
Creed,"1,4,1,4",Verse,Higher,4 chord,Higher,Creed,381714,1759316,"rock, alternative rock, Creed, alternative, Grunge"
Creedence Clearwater Revival,"1,5,4",Chorus,Bad Moon Rising,3 chord,Bad Moon Rising,Creedence Clearwater Revival,852311,4671374,"classic rock, 60s, rock, Southern Rock, oldies"
Creedence Clearwater Revival,"1,5,1",Chorus,Down On The Corner,3 chord,Down on the Corner,Creedence Clearwater Revival,554140,2498578,"classic rock, rock, 60s, Southern Rock, oldies"
