0,cp,section,song,type,song (last.fm),artist (last.fm),listener count (last.fm),play count (last.fm),genre (last.fm)
ATC,"6,3,4",Chorus,Around The World,3 chord,Around the World,ATC,81289,547461,"dance, pop, electronic, eurodance, techno"
AWESOMEGUY,"1,2,3",Instrumental,NYAN CAT,3 chord,,,,,
AZEDIA,"6,5,4",Solo,Something,3 chord,Something,Azedia,5460,29000,"electronic, dubstep"
Aage Aleksandersen,"6,5,1",Intro,Fire Pils Og En Pizza,3 chord,,,,,
Aage Aleksandersen,"1,5,4",Chorus,Norge Mitt Norge,3 chord,Norge mitt Norge,Aage Aleksandersen,2,3,
Above and Beyond,"1,5,4",Intro,Good For Me - Ambient Mix -,3 chord,,,,,
Above and Beyond,"1,2,6",Pre-Chorus,Sun and Moon,3 chord,Sun and Moon,Above & Beyond,2296,17507,"trance, abovebeyond"
Above and Beyond feat Alex Vargas,"4,6,5",Verse,All Over The World,3 chord,All Over The World,Above and Beyond feat Alex Vargas,21,113,
Absofacto,"1,2,4",Chorus,Dissolve,3 chord,Dissolve,Absofacto,54838,307132,"cover, Fave Indie Pop, 2015, BIRP, hairy chest"
Absofacto,"1,6,1",Chorus,Whose Side Are You On Anyway,3 chord,Whose Side Are You On Anyway?,Absofacto,7498,30897,"Fave Indie Pop, BIRP, airplay, hairy chest"
Absynthe Minded,"1,5,4",Chorus,End Of The Line,3 chord,End Of The Line,Absynthe Minded,7079,30293,"alternative, belgian, Belgisch, 2013 single, Top Artist 2012"
Absynthe Minded,"6,5,4",Bridge,Papillon,3 chord,Papillon,Absynthe Minded,13962,72673,"pop, alternative, alternative rock, Eels, Belgisch"
Ace Of Base,"1,6,4",Chorus,I Saw The Sign,3 chord,The Sign,Ace of Base,334851,1534004,"pop, 90s, dance, eurodance, Ace Of Base"
Ace of Base,"4,1,5",Pre-Chorus,All That She Wants,3 chord,All That She Wants,Ace of Base,518039,2332186,"90s, pop, dance, eurodance, swedish"
Adam Buxton,"1,5,4",Chorus,Counting Song,3 chord,Counting Song,Adam Buxton,107,450,
Adam Green and Binki Shapiro,"1,2,3",Chorus,Here I Am,3 chord,Here I Am,Adam Green & Binki Shapiro,8355,54405,"folk rock, rock, singer-songwriter, 2012, 10s"
Adam Lambert,"1,2,4",Verse,Ghost Town,3 chord,Ghost Town,Adam Lambert,156598,1340634,"pop, deep house, House, 2015, dance"
Adam Lambert,"6,1,3",Verse,If i had you,3 chord,If I Had You,Adam Lambert,178288,1690160,"pop, dance, Adam lambert, rock, male vocalists"
Adam Lambert,"1,4,1",Verse,Whataya Want from Me,3 chord,Whataya Want from Me,Adam Lambert,343391,3293866,"pop, rock, Adam lambert, American Idol, american"
Adam Sandler,"1,5,4",Verse,Somebody Kill Me,3 chord,Somebody Kill Me,Adam Sandler,20798,75737,"Soundtrack, comedy, rock, humour, breakup"
Adam Szabo and Johan Vilborg,"1,4,5",Pre-Chorus,Two To One,3 chord,two to one,adam szabo and johan vilborg,2,5,
Adel Tawil,"1,5,6",Verse,Lieder,3 chord,Lieder,Adel Tawil,24329,208439,"pop, rock, deutsch, german, Musikgruppe Berufsbildungswerk Neumuenster"
Adele,"1,5,6",Chorus,Hello,3 chord,Hello,Adele,430211,4403510,"soul, pop, 2015, british, female vocalists"
Adele,"4,5,6",Chorus,Rolling In The Deep,3 chord,Rolling in the Deep,Adele,1280514,13466512,"soul, Adele, female vocalists, pop, british"
Adele,"1,6,5",Chorus,Send My Love,3 chord,Send My Love,Adele,1842,27550,
Adele,"1,5,2",Verse,Set Fire to the Rain,3 chord,Set Fire to the Rain,Adele,890335,9262204,"soul, Adele, female vocalists, pop, british"
Adele,"1,5,2",Intro,Set The Fire To The Rain,3 chord,Set The Fire To The Rain,Adele,424,4551,
Adele,"1,5,6",Chorus,Someone Like You,3 chord,Someone Like You,Adele,1023520,10250722,"Adele, soul, piano, british, female vocals"
Adele,"5,2,1",Chorus,Turning Tables,3 chord,Turning Tables,Adele,556484,4292406,"soul, Adele, pop, female vocalists, piano"
Adele,"4,5,6",Chorus,When We Were Young,3 chord,When We Were Young,Adele,247415,1951621,"soul, pop, british, Ballad, 2015"
Adrian Lux,"6,2,4",Chorus,Teenage Crime,3 chord,Teenage Crime,Adrian Lux,36638,264889,"dance, House, summer, club, dancefloor"
Adrian Lux,"1,5,4",Chorus,Weekend Heroes - Bauer and Lanford Remix,3 chord,,,,,
Adult Swim,"4,5,1",Chorus,Too Many Cooks Theme Song,3 chord,,,,,
Adventure Club,"4,5,6",Intro,Wonder,3 chord,Wonder,Adventure Club,4984,24601,
Adventure Time,"5,1,6",Verse,Oh Bubblegum,3 chord,Oh Bubblegum,Adventure Time,486,1314,
Aerosmith,"1,6,4",Chorus,Crazy,3 chord,Crazy,Aerosmith,658742,3522535,"rock, classic rock, aerosmith, hard rock, 90s"
Aerosmith,"1,5,6",Verse,Cryin',3 chord,Cryin',Aerosmith,567063,2970510,"rock, classic rock, hard rock, aerosmith, 90s"
