artist,cp,section,song
Gary Allan,"1,5,6,4,1",Chorus,Smoke Rings in the Dark
Flo RIda,"1,5,6,4,1",Chorus,Whistle
YB,"1,5,6,4,1",Intro and Verse,Flying Butterfly
YB,"1,5,6,4,1",Pre-Chorus,Flying Butterfly
YB,"1,5,6,4,1",Chorus,Flying Butterfly
The Offspring,"1,5,6,4,1",Verse,Self Esteem
Sanna Nielsen,"1,5,6,4,1",Chorus,Undo
Alligatoah,"1,5,6,4,1",Pre-Chorus and Chorus,Narben
Daddy Yankee,"1,5,6,4,1",Chorus,Limbo
Tiesto,"1,5,6,4,1",Chorus,Red Lights
The Script,"1,5,6,4,1",Intro,Hall of Fame
The Script,"1,5,6,4,1",Chorus,Hall of Fame
Judas Priest,"1,5,6,4,1",Verse and Pre-Chorus,Breaking The Law
John Legend,"1,5,6,4,1",Intro and Verse,All of Me
John Legend,"1,5,6,4,1",Pre-Chorus and Chorus,All of Me
The All-American Rejects,"1,5,6,4,1",Verse,Dirty Little Secret
Florida Georgia Line,"1,5,6,4,1",Chorus,Cruise
Red Hot Chili Peppers,"1,5,6,4,1",Verse,Under The Bridge
All Levels at Once,"1,5,6,4,1",Chorus,Phoenix
Fergie,"1,5,6,4,1",Chorus,Big Girls Don't Cry
Kelly Clarkson,"1,5,6,4,1",Pre-Chorus and Chorus,Breakaway
Austra,"1,5,6,4,1",Chorus,Painful Like
HertzDevil,"1,5,6,4,1",Intro,Blueshift Galaxy
Scott McKenzie,"1,5,6,4,1",Chorus,San Francisco
Alexandra Stan,"1,5,6,4,1",Chorus,Get Back ASAP
Black Eyed Peas,"1,5,6,4,1",Chorus,Where Is The Love
Justice Crew,"1,5,6,4,1",Instrumental,Que Sera
Shakira,"1,5,6,4,1",Chorus,Whenever Wherever
Shakira,"1,5,6,4,1",Instrumental,Whenever Wherever
Michael Walthius,"1,5,6,4,1",Chorus,Dreaming in Stereo - Under The Moon
Les Friction,"1,5,6,4,1",Chorus,What You Need
John O'Callaghan ft Sarah Howells,"1,5,6,4,1",Verse and Pre-Chorus,Find Yourself
Olly Murs ,"1,5,6,4,1",Chorus,Dear Darlin
Fall Out Boy,"1,5,6,4,1",Verse,Young Volcanoes
Enrique ft Descemer Bueno Gente De Zona,"1,5,6,4,1",Verse and Pre-Chorus,Bailando Espanol
Enrique ft Descemer Bueno Gente De Zona,"1,5,6,4,1",Chorus,Bailando Espanol
Kors-K--DJ-Command,"1,5,6,4,1",Chorus,Smooooch---Akiba-Kobo-Remix-
Neo Cortex,"1,5,6,4,1",Chorus,Elements 2004
Neo Cortex,"1,5,6,4,1",Chorus,Elements
Neo Cortex,"1,5,6,4,1",Verse,Elements
Technikal and Nathalie ,"1,5,6,4,1",Chorus,Big Sky
Neo Cortex,"1,5,6,4,1",Instrumental,Elements
Lana Del Rey,"1,5,6,4,1",Verse,Old Money
Green Day,"1,5,6,4,1",Instrumental,Boulevard of Broken Dreams
John Mayer,"1,5,6,4,1",Chorus,Half of My Heart
Eric Whitacre,"1,5,6,4,1",Chorus,A Boy and a Girl
AFI,"1,5,6,4,1",Chorus,Girl's Not Grey
One Republic,"1,5,6,4,1",Chorus,Stop And Stare
Green Day,"1,5,6,4,1",Chorus,X-Kid
Heart,"1,5,6,4,1",Verse and Pre-Chorus,What About Love
Chelsea Ward,"1,5,6,4,1",Verse,That's Falling in Love
Paul McCartney,"1,5,6,4,1",Verse,Meat Free Monday
A Great Big World,"1,5,6,4,1",Intro and Verse,Say Something
A Great Big World,"1,5,6,4,1",Chorus,Say Something
Avicii,"1,5,6,4,1",Pre-Chorus and Chorus,Father Told Me
Roomie,"1,5,6,4,1",Chorus,How To Make A Number One Song Without Talent
Avicii,"1,5,6,4,1",Chorus,The Days
Avicii,"1,5,6,4,1",Instrumental,The Nights FIFA 15 Soundtrack
3OH3,"1,5,6,4,1",Chorus,Don't Trust Me
Fountains Of Wayne,"1,5,6,4,1",Chorus,Stacy's Mum
The Calling,"1,5,6,4,1",Chorus,Wherever You Will Go
Calvin Harris,"1,5,6,4,1",Chorus,I Need Your Love
Calvin Harris,"1,5,6,4,1",Intro,I Need Your Love
Justice Crew,"1,5,6,4,1",Chorus,Que Sera
Bastille,"1,5,6,4,1",Verse,What Would You Do
Bastille,"1,5,6,4,1",Chorus,What Would You Do
Taylor Swift,"1,5,6,4,1",Chorus,Bad Blood
The Divine Comedy,"1,5,6,4,1",Bridge,At The Indie Disco
The Gaslight Anthem,"1,5,6,4,1",Verse,The Spirit of Jazz
Echosmith,"1,5,6,4,1",Chorus,Cool Kids
The Gaslight Anthem,"1,5,6,4,1",Verse,Have Mercy
Echosmith,"1,5,6,4,1",Intro,Cool Kids
Jimi Hendrix,"1,5,6,4,1",Verse,Bold As Love
Biffy Clyro,"1,5,6,4,1",Verse,The Captain
The Gaslight Anthem,"1,5,6,4,1",Chorus,45
Tomas Danko,"1,5,6,4,1",Verse,Plastic Pop
Martin Tungevaag,"1,5,6,4,1",Solo,Wicked Wonderland
Soldat Louis,"1,5,6,4,1",Chorus,Tirer des caisses
John Murphy,"1,5,6,4,1",Instrumental,Sunshine
Caramell,"1,5,6,4,1",Chorus,Caramelldansen
Michael Buble,"1,5,6,4,1",Verse,It's a Beautiful Day
Vangelis,"1,5,6,4,1",Intro and Verse,Hymne
Wyclef Jean,"1,5,6,4,1",Verse,Divine Sorrow
Alice Cooper,"1,5,6,4,1",Pre-Chorus and Chorus,Poison
The Pogues and Kirsty MacColl,"1,5,6,4,1",Verse,Fairytale of New York
Owl City,"1,5,6,4,1",Pre-Chorus,When Can I See You Again
Owl City,"1,5,6,4,1",Chorus,When Can I See You Again
Jay Sean,"1,5,6,4,1",Chorus,Down
Teddybears,"1,5,6,4,1",Chorus,Hey Boy
Motoi Sakuraba,"1,5,6,4,1",Verse,The Imperial City
Gregory Alan Isakov,"1,5,6,4,1",Verse,The Stable Song
Coldplay,"1,5,6,4,1",Bridge,Fix You
Sia,"1,5,6,4,1",Chorus,Elastic Heart
Nelly,"1,5,6,4,1",Chorus,Just A Dream
Sia,"1,5,6,4,1",Pre-Chorus,Elastic Heart
One Direction,"1,5,6,4,1",Verse,Nobody Compares
Mark Forster feat Sido,"1,5,6,4,1",Instrumental,Au Revoir
Strong Bad,"1,5,6,4,1",Chorus,The Cheat is Not Dead
One Direction,"1,5,6,4,1",Pre-Chorus,Heart Attack 
The Living End,"1,5,6,4,1",Chorus,Who's Gonna Save Us
Weezer,"1,5,6,4,1",Chorus,No One Else
Grateful Dead,"1,5,6,4,1",Verse and Pre-Chorus,Sugaree
Agnes,"1,5,6,4,1",Chorus,Right Here Right Now
Sia,"1,5,6,4,1",Verse,Elastic Heart
Robin Schulz ft Jasmine Thompson,"1,5,6,4,1",Verse,Sun Goes Down
Robin Schulz ft Jasmine Thompson,"1,5,6,4,1",Pre-Chorus,Sun Goes Down
Eagle Eye Cherry,"1,5,6,4,1",Chorus,Save Tonight
Sia,"1,5,6,4,1",Chorus Lead-Out,Elastic Heart
The Horrible Crowes,"1,5,6,4,1",Intro and Verse,Crush
The Horrible Crowes,"1,5,6,4,1",Outro,Crush
Calvin Harris,"1,5,6,4,1",Pre-Chorus,I Need Your Love
Taylor Swift,"1,5,6,4,1",Chorus,Mean
Robert Plant and Alison Krauss,"1,5,6,4,1",Verse,Gone Gone Gone
Jordin Sparks,"1,5,6,4,1",Chorus,Battlefield
Arthur,"1,5,6,4,1",Chorus,Beginning of time
Carly Rae Jepsen,"1,5,6,4,1",Chorus,I Really Like You
Tristam and Braken,"1,5,6,4,1",Chorus,Far Away
Built By Titan,"1,5,6,4,1",Pre-Chorus,Heart And Soul
Jonathan Mann,"1,5,6,4,1",Chorus,Hey Defriender
Phineas and Ferb,"1,5,6,4,1",Chorus,Frenemies
Carrie Underwood,"1,5,6,4,1",Chorus,Good Girl
Bambee,"1,5,6,4,1",Chorus,Cowgirl
Steerner ft Corey Saxon,"1,5,6,4,1",Verse and Pre-Chorus,Sparks
The Electric Warehouse,"1,5,6,4,1",Chorus,The Hero
Miriam Bryant,"1,5,6,4,1",Verse and Pre-Chorus,Dragon
Miriam Bryant,"1,5,6,4,1",Chorus,Dragon
Daze,"1,5,6,4,1",Chorus,Sea Of Love -Remix-
Daze,"1,5,6,4,1",Verse and Pre-Chorus,Sea Of Love -Remix-
Martin Garrix,"1,5,6,4,1",Intro,Don't Look Down feat Usher
Alphabeat,"1,5,6,4,1",Chorus,Vacation
The Mighty Mighty Bosstones,"1,5,6,4,1",Chorus,So Sad To Say
Emilie Autumn,"1,5,6,4,1",Chorus,What If
Lost Frequencies,"1,5,6,4,1",Chorus,Are You With Me
Joss Whedon,"1,5,6,4,1",Verse,Going Through The Motions
The Mighty Mighty Bosstones,"1,5,6,4,1",Chorus,A Jackknife to a Swan
Sara Bareilles,"1,5,6,4,1",Verse,Uncharted
The Band Perry,"1,5,6,4,1",Chorus,If I Die Young
Sum 41,"1,5,6,4,1",Chorus,No Reason
Irish Stew of Sindidun,"1,5,6,4,1",Verse and Pre-Chorus,I Will Never Be Your Friend
Test 1,"1,5,6,4,1",Intro,Greek
Aimee Mann,"1,5,6,4,1",Verse,Ghost World
Patent Pending,"1,5,6,4,1",Bridge,Hey Mario
Big Dope P,"1,5,6,4,1",Pre-Chorus,Hit Da Blokk
toto,"1,5,6,4,1",Intro,toto africa
Skylar Grey,"1,5,6,4,1",Verse,I Know You - Fifty Shades Of Grey
Weezer,"1,5,6,4,1",Intro and Verse,My Name Is Jonas
MitiS,"1,5,6,4,1",Bridge,Vulnerability
MitiS,"1,5,6,4,1",Chorus,Born
Katy Perry,"1,5,6,4,1",Bridge,Hot N Cold
Tenacious D,"1,5,6,4,1",Chorus Lead-Out,Beelzeboss
Madonna,"1,5,6,4,1",Verse and Pre-Chorus,The Power Of Goodbye
Avicii,"1,5,6,4,1",Intro and Verse,Broken Arrows
Pegboard Nerds,"1,5,6,4,1",Verse,Ner Style
George Ezra,"1,5,6,4,1",Intro and Verse,Song 6
Adele,"1,5,6,4,1",Chorus,Hello
Alligatoah,"1,5,6,4,1",Chorus,Lass Liegen
Lynyrd Skynyrd,"1,5,6,4,1",Intro,Tuesday's Gone
TheFatRat,"1,5,6,4,1",Intro,Windfall
marny kennedy,"1,5,6,4,1",Intro,It's My Life
Antonim,"1,5,6,4,1",Chorus,Melancholy Soldier
marny kennedy,"1,5,6,4,1",Chorus,It's My Life
marny kennedy,"1,5,6,4,1",Pre-Outro,It's My Life
OMI,"1,5,6,4,1",Pre-Chorus,Hula Hoop
Love and Theft,"1,5,6,4,1",Chorus,Angel Eyes
Diplo and Sleepy Tom,"1,5,6,4,1",Pre-Chorus,Be Right There
Riggi and Piros,"1,5,6,4,1",Verse,Knightlife
Rachel Platten,"1,5,6,4,1",Chorus,Fight Song
John Hiatt,"1,5,6,4,1",Chorus,Cry Love
Lady Gaga,"1,5,6,4,1",Chorus,Second Time Around
Lady Gaga,"1,5,6,4,1",Chorus,Heavy Metal Lover
Taio Cruz,"1,5,6,4,1",Chorus,Break Your Heart
ryo,"1,5,6,4,1",Verse,Black Rock Shooter
Nicky Jam and Enrique Iglesias,"1,5,6,4,1",Chorus,El Perdon
Teddyloid,"1,5,6,4,1",Intro,MEMEME Final Part
Justin Bieber,"1,5,6,4,1",Pre-Chorus and Chorus,Love Yourself
Nightwish,"1,5,6,4,1",Outro,Amaranth
Pink,"1,5,6,4,1",Intro,Try
Pink,"1,5,6,4,1",Verse,Try
Pink,"1,5,6,4,1",Chorus,Try
Taylor Swift,"1,5,6,4,1",Intro,Bad Blood
Florida Georgia Line,"1,5,6,4,1",Intro and Verse,Get Your Shine On
carly ray,"1,5,6,4,1",Chorus,I JUST MET YOU
Deuce,"1,5,6,4,1",Chorus,The One
Toru Minegishi,"1,5,6,4,1",Verse,Splatfest Battle - Ink Me Up
Palm Trees,"1,5,6,4,1",Chorus,Casanova
Project 46,"1,5,6,4,1",Intro,Forgettable
DECO 27,"1,5,6,4,1",Chorus,Streaming Heart
The Police,"1,5,6,4,1",Verse,So Lonely
The Police,"1,5,6,4,1",Chorus,So Lonely
UFO,"1,5,6,4,1",Intro and Verse,Doctor Doctor
Kenshi Yonezu,"1,5,6,4,1",Chorus,Wooden Doll
Alan Walker,"1,5,6,4,1",Chorus,Faded
Basshunter,"1,5,6,4,1",Intro,DotA
No Doubt,"1,5,6,4,1",Intro,Spiderwebs
Brand New,"1,5,6,4,1",Bridge,Not the Sun
Nightwish,"1,5,6,4,1",Verse and Pre-Chorus,Wish I Had An Angel
Relient K,"1,5,6,4,1",Pre-Chorus,Be My Escape
Blink 182,"1,5,6,4,1",Chorus,Bored To Death
Alan Walker,"1,5,6,4,1",Verse,Faded
Pepper Coyote,"1,5,6,4,1",Chorus,No Cock Like Horse Cock
ItaloBrothers,"1,5,6,4,1",Verse,Sleep When We're Dead
ItaloBrothers,"1,5,6,4,1",Pre-Chorus,Sleep When We're Dead
ItaloBrothers,"1,5,6,4,1",Verse and Pre-Chorus,Sleep When We're Dead
Carly Rae Jepsen,"1,5,6,4,1",Bridge,I Really Like You
Muse,"1,5,6,4,1",Pre-Chorus and Chorus,Revolt
Different Heaven,"1,5,6,4,1",Chorus,Nekozilla
Muse,"1,5,6,4,1",Bridge,Dead Inside
Different Heaven,"1,5,6,4,1",Pre-Chorus,My Heart
Greek Fire,"1,5,6,4,1",Verse and Pre-Chorus,Top Of The World
X Ambassadors,"1,5,6,4,1",Intro,Unsteady
Neru,"1,5,6,4,1",Chorus,Law-Evading Rock
Perfume,"1,5,6,4,1",Intro,Sweet Donuts
The Chainsmokers,"1,5,6,4,1",Intro,Don't Let Me Down Ft Daya
Blink-182,"1,5,6,4,1",Chorus,Going Away To College
Bon Jovi,"1,5,6,4,5",Chorus,Living On A Prayer
Evanescence,"1,5,6,4,5",Chorus,Bring Me To Life
One Direction,"1,5,6,4,5",Pre-Chorus,Live While We're Young
Taylor Swift,"1,5,6,4,5",Chorus,I Knew You Were Trouble
Train,"1,5,6,4,5",Verse,Hey Soul Sister
Skyrim OST,"1,5,6,4,5",Intro,The Bannered Mare
Enrique Iglesias,"1,5,6,4,5",Chorus,Dimelo
Cyndi Lauper,"1,5,6,4,5",Chorus,Time After Time
Plastic Tree,"1,5,6,4,5",Verse and Pre-Chorus,Mizuiro Girlfriend
ItaloBrothers,"1,5,6,4,5",Pre-Chorus,Stamp on the Ground
ItaloBrothers,"1,5,6,4,5",Instrumental,Stamp on the Ground
Kelly Clarkson,"1,5,6,4,5",Bridge,Behind These Hazel Eyes
Taylor Swift,"1,5,6,4,5",Chorus,Love Story
Backstreet Boys,"1,5,6,4,5",Chorus,The One
Globus,"1,5,6,4,5",Verse,Europa
Globus,"1,5,6,4,5",Chorus,Europa
Globus,"1,5,6,4,5",Chorus Lead-Out,Europa
Globus,"1,5,6,4,5",Pre-Chorus,Europa
The Wanted,"1,5,6,4,5",Chorus,We Own The Night
Pegboard Nerds and Tristam,"1,5,6,4,5",Verse,Razor Sharp
Hampton the Hampster,"1,5,6,4,5",Chorus,Hampster Dance
Nightwish,"1,5,6,4,5",Intro and Verse,Last Of the Wilds
Ozzy Osbourne,"1,5,6,4,5",Intro,Crazy Train
Bonnie Mckee,"1,5,6,4,5",Verse,American Girl
Kanye West,"1,5,6,4,5",Chorus,Runaway
Nightwish,"1,5,6,4,5",Bridge,The Poet and the Pendulum
Mike Oldfield,"1,5,6,4,5",Verse and Pre-Chorus,Moonlight Shadow feat Maggie Reilly
Naruto,"1,5,6,4,5",Instrumental,Sadness and Sorrow
Jacksfilms,"1,5,6,4,5",Chorus,Give This Song A Title
John Mayer,"1,5,6,4,5",Chorus,Half of My Heart
Cartoons,"1,5,6,4,5",Chorus,Witch Doctor
Alphaville,"1,5,6,4,5",Verse,Forever Young
Green Day,"1,5,6,4,5",Chorus,X-Kid
Alphaville,"1,5,6,4,5",Chorus,Forever Young
Men At Work,"1,5,6,4,5",Chorus,Land Down Under
The Beatles,"1,5,6,4,5",Verse and Pre-Chorus,I Should Have Known Better
One Direction ,"1,5,6,4,5",Chorus,Night Changes 
Jonathan Mann,"1,5,6,4,5",Chorus,Hey Defriender
Carrie Underwood,"1,5,6,4,5",Chorus,Good Girl
The Mighty Mighty Bosstones,"1,5,6,4,5",Chorus,So Sad To Say
The Mighty Mighty Bosstones,"1,5,6,4,5",Chorus,A Jackknife to a Swan
Rob Abernethy,"1,5,6,4,5",Verse,A Walk In The Shire
Patent Pending,"1,5,6,4,5",Bridge,Hey Mario
Hudson Mohawke,"1,5,6,4,5",Pre-Chorus,Fuse
Rick Springfield,"1,5,6,4,5",Intro and Verse,Jessie's Girl
Tool,"1,5,6,4,5",Chorus,Aenima
Love and Theft,"1,5,6,4,5",Chorus,Angel Eyes
Fountains of Wayne,"1,5,6,4,5",Verse,Hey Julie
