artist,cp,section,song
Adele,"1,5,6,4,1",Chorus,Someone Like You
Avril Lavigne,"1,5,6,4,1",Chorus,Girlfriend
Bruno Mars,"1,5,6,4,1",Chorus,Grenade
Carly Rae Jepsen,"1,5,6,4,1",Chorus,Call Me Maybe
Carrie Underwood,"1,5,6,4,1",Chorus,So Small
Carrie Underwood,"1,5,6,4,1",Verse,So Small
Cascada,"1,5,6,4,1",Verse,Every Time We Touch
Cheryl Cole,"1,5,6,4,1",Verse,Parachute
Flo Rida,"1,5,6,4,1",Instrumental,Whistle
Jason Mraz,"1,5,6,4,1",Verse,I'm Yours
Kelly Clarkson,"1,5,6,4,1",Verse,Already Gone
Lady Gaga,"1,5,6,4,1",Chorus,The Edge Of Glory
Maroon 5,"1,5,6,4,1",Chorus,She Will Be Loved
Matchbox 20,"1,5,6,4,1",Verse,Real World
Mumford and Sons,"1,5,6,4,1",Chorus,The Cave
NOFX,"1,5,6,4,1",Chorus,Please Play This Song On The Radio
Of Monsters And Men,"1,5,6,4,1",Chorus,Little Talks
Of Monsters And Men,"1,5,6,4,1",Intro,Little Talks
Old Crow Medicine Show,"1,5,6,4,1",Verse,Wagon Wheel
One Republic,"1,5,6,4,1",Verse and Pre-Chorus,Say
Pink,"1,5,6,4,1",Chorus,U and Ur Hand
Rihanna,"1,5,6,4,1",Pre-Chorus,Love The Way You Lie Part 2
Rihanna,"1,5,6,4,1",Verse,Love The Way You Lie Part 2
Shakira,"1,5,6,4,1",Pre-Chorus and Chorus,Waka Waka
Skid Row,"1,5,6,4,1",Pre-Chorus and Chorus,Wasted Time
Snow Patrol,"1,5,6,4,1",Chorus,Run
Taylor Swift,"1,5,6,4,1",Verse,I Knew You Were Trouble
The Lonely Island,"1,5,6,4,1",Bridge,Jack Sparrow
The Lonely Island,"1,5,6,4,1",Chorus,Jack Sparrow
Tim McGraw,"1,5,6,4,1",Verse,It's Your Love
Tim McGraw,"1,5,6,4,1",Verse,Where The Green Grass Grows
Train,"1,5,6,4,1",Verse,Hey Soul Sister
Avicii - Ezon remix ,"1,5,6,4,1",Chorus,All You Need Is Love
Avril Lavigne,"1,5,6,4,1",Chorus,Complicated
Green Day,"1,5,6,4,1",Intro,21 Guns
Green Day,"1,5,6,4,1",Verse,21 Guns
Green Day,"1,5,6,4,1",Chorus,Boulevard of Broken Dreams
Green Day,"1,5,6,4,1",Chorus,Holiday
Green Day,"1,5,6,4,1",Verse,Holiday
Linkin Park,"1,5,6,4,1",Chorus,Numb
Michel Telo,"1,5,6,4,1",Chorus,Ai Se Eu Te Pego
Mike Candys,"1,5,6,4,1",Intro,2012 'If The World Would End'
Mike Candys,"1,5,6,4,1",Pre-Chorus and Chorus,2012 'If The World Would End'
Red Hot Chili Peppers,"1,5,6,4,1",Chorus,Snow -Hey Oh-
Sum 41,"1,5,6,4,1",Chorus,Confusion and Frustration in Modern Times
Sum 41,"1,5,6,4,1",Intro,Confusion and Frustration in Modern Times
Sum 41,"1,5,6,4,1",Intro and Verse,Confusion and Frustration in Modern Times
Sum 41,"1,5,6,4,1",Verse and Pre-Chorus,Confusion and Frustration in Modern Times
Sum 41,"1,5,6,4,1",Chorus,Walking Disaster
Jeff Marx and Robert Lopez,"1,5,6,4,1",Verse and Pre-Chorus,The Internet Is For Porn
Lady Gaga,"1,5,6,4,1",Chorus,Paparazzi
Linkin Park,"1,5,6,4,1",Chorus,Castle Of Glass
Yiruma,"1,5,6,4,1",Intro and Verse,River flows in you
Roxette,"1,5,6,4,1",Chorus,Listen To Your Heart
Lady Gaga,"1,5,6,4,1",Chorus,Alejandro
Toto,"1,5,6,4,1",Chorus,Africa
The Avett Brothers,"1,5,6,4,1",Verse,Life
Tidal Wave,"1,5,6,4,1",Instrumental,Sub Focus
Taylor Swift,"1,5,6,4,1",Bridge,Stay Stay Stay
Edward Maya,"1,5,6,4,1",Instrumental,Stereo Love
Deep Blue Something,"1,5,6,4,1",Chorus,Breakfast At Tiffany's
Rome,"1,5,6,4,1",Chorus,Seasons
RIO,"1,5,6,4,1",Chorus,Living in Stereo
RIO,"1,5,6,4,1",Pre-Chorus,Living in Stereo
Britney Spears,"1,5,6,4,1",Intro,Born to make you happy
Britney Spears,"1,5,6,4,1",Chorus,Born to make you happy
Axis of Awesome,"1,5,6,4,1",Chorus,Four Chord Songs
Passion Pit,"1,5,6,4,1",Chorus,Take A Walk
Passenger,"1,5,6,4,1",Chorus,Let Her Go
Charles Jenkins,"1,5,6,4,1",Verse,Awesome
Charles Jenkins,"1,5,6,4,1",Verse and Pre-Chorus,Awesome
Jo Blankenburg,"1,5,6,4,1",Intro,Illumielle
Lindsey Stirling,"1,5,6,4,1",Intro,Transcendence
Blink 182,"1,5,6,4,1",Verse,What's My Age Again
Blink 182,"1,5,6,4,1",Chorus,What's My Age Again
Red Hot Chili Peppers,"1,5,6,4,1",Chorus,Otherside
Armin van Buuren,"1,5,6,4,1",Verse,This Is What It Feels Like
Armin van Buuren,"1,5,6,4,1",Pre-Chorus,This Is What It Feels Like
Armin van Buuren,"1,5,6,4,1",Chorus,This Is What It Feels Like
Demi Lovato,"1,5,6,4,1",Verse,Heart Attack
Fall Out Boy,"1,5,6,4,1",Pre-Chorus and Chorus,My Songs Know What You Did In The Dark
Plastic Tree,"1,5,6,4,1",Verse and Pre-Chorus,Mizuiro Girlfriend
Charles Jenkins,"1,5,6,4,1",Intro,Awesome
Florida Georgia Line,"1,5,6,4,1",Chorus,Get Your Shine On
O Zone,"1,5,6,4,1",Intro,Dragostea Din Tei
O Zone,"1,5,6,4,1",Verse and Pre-Chorus,Dragostea Din Tei
O Zone,"1,5,6,4,1",Chorus Lead-Out,Dragostea Din Tei
Basshunter,"1,5,6,4,1",Verse,All I Ever Wanted
Imogen Heap,"1,5,6,4,1",Verse,Hide And Seek
Imogen Heap,"1,5,6,4,1",Pre-Chorus,Hide And Seek
Iyaz,"1,5,6,4,1",Chorus,Replay
Kelly Clarkson,"1,5,6,4,1",Verse and Pre-Chorus,Behind These Hazel Eyes
Kelly Clarkson,"1,5,6,4,1",Chorus,Behind These Hazel Eyes
Mike Candys,"1,5,6,4,1",Intro and Verse,Everybody
Mike Candys,"1,5,6,4,1",Pre-Chorus and Chorus,Everybody
Nelly,"1,5,6,4,1",Instrumental,Just A Dream
The Veronicas,"1,5,6,4,1",Chorus,Everything I'm Not
The Veronicas,"1,5,6,4,1",Chorus,4ever
Asher Roth,"1,5,6,4,1",Chorus,I Love College
John Mayer,"1,5,6,4,1",Chorus,Waiting on the World to Change
Shania Twain,"1,5,6,4,1",Verse and Pre-Chorus,That Don't Impress Me Much
Shania Twain,"1,5,6,4,1",Chorus,That Don't Impress Me Much
Noam Kaniel,"1,5,6,4,1",Intro,A World Without Danger
Renard,"1,5,6,4,1",Bridge,Intensive Care Unit
Miley Cyrus,"1,5,6,4,1",Chorus,Wrecking Ball
Bush,"1,5,6,4,1",Intro and Verse,Glycerine
Taeyang,"1,5,6,4,1",Intro,Wedding Dress
Patent Pending,"1,5,6,4,1",Chorus,Hey Mario
Chris Tomlin,"1,5,6,4,1",Chorus,Our God
Bob Dylan,"1,5,6,4,1",Intro and Verse,Don't Think Twice It's Alright
Joan Osborne,"1,5,6,4,1",Intro,One of Us
Bruce Rowland,"1,5,6,4,1",Intro and Verse,Jessica's Theme
Steve Winwood,"1,5,6,4,1",Chorus,Higher Love
Danny McCarthy,"1,5,6,4,1",Intro,Silver Scrapes
Danny McCarthy,"1,5,6,4,1",Verse,Silver Scrapes
nigahiga,"1,5,6,4,1",Chorus,Nice Guys
Mayhem,"1,5,6,4,1",Intro,Eggs -Furries In A Blender RMX-
Mayhem,"1,5,6,4,1",Pre-Chorus,Eggs -Furries In A Blender RMX-
Katy Perry,"1,5,6,4,1",Verse,Unconditionally
Neighborhood Annoyance ,"1,5,6,4,1",Solo,ICE CREAM TRUCK
Josh Groban,"1,5,6,4,1",Chorus,You Raise Me Up
The Offspring,"1,5,6,4,1",Verse,You're Gonna Go Far Kid
The Offspring,"1,5,6,4,1",Pre-Chorus and Chorus,You're Gonna Go Far Kid
Bruce Dickinson,"1,5,6,4,1",Chorus,Tears of The Dragon
Manowar,"1,5,6,4,1",Chorus,Master of the wind
Iron Maiden,"1,5,6,4,1",Chorus,Blood Brothers
Iron Maiden,"1,5,6,4,1",Verse and Pre-Chorus,No more lies
Braken,"1,5,6,4,1",Intro and Verse,To The Stars
Orchestral Manoeuvres in the Dark,"1,5,6,4,1",Intro,Electricity
Bob Dylan,"1,5,6,4,1",Chorus,Don't Think Twice It's Alright
Luke Bryan,"1,5,6,4,1",Verse,Crash My Party
Pegboard Nerds,"1,5,6,4,1",Chorus,Self Destruct
The Wanted,"1,5,6,4,1",Chorus,We Own The Night
Avicii,"1,5,6,4,1",Intro and Verse,Hey Brother
the Sing Team,"1,5,6,4,1",Chorus,Satisfied in You
Eagle Eye Cherry,"1,5,6,4,1",Intro,Save Tonight
Alex Lloyd,"1,5,6,4,1",Chorus,Amazing
Natalie Imbruglia,"1,5,6,4,1",Chorus,Torn
Natalie Imbruglia,"1,5,6,4,1",Outro,Torn
Switchfoot,"1,5,6,4,1",Intro,Your Love is a Song
Jimi Hendrix,"1,5,6,4,1",Intro and Verse,Bold as love
Jimi Hendrix,"1,5,6,4,1",Chorus,Bold as love
A Great Big World,"1,5,6,4,1",Intro,Say Something
Israel Kamakawiwoole,"1,5,6,4,1",Intro,Somewhere Over the Rainbow
Israel Kamakawiwoole,"1,5,6,4,1",Bridge,Somewhere Over the Rainbow
MistFolk,"1,5,6,4,1",Pre-Chorus and Chorus,Storm Spirits
Enya,"1,5,6,4,1",Verse,May It Be
Imagine Dragons,"1,5,6,4,1",Intro and Verse,Demons
Imagine Dragons,"1,5,6,4,1",Pre-Chorus and Chorus,Demons
Tamas Wells,"1,5,6,4,1",Verse and Pre-Chorus,From Prying Plans into the Fire
Klingande,"1,5,6,4,1",Verse,Punga
Iron Maiden,"1,5,6,4,1",Verse and Pre-Chorus,The Wicker Man
Scorpions,"1,5,6,4,1",Chorus,Still loving you
Idina Menzel,"1,5,6,4,1",Chorus,Let It Go
UNiTE,"1,5,6,4,1",Chorus,Ai -'ation-
Adel Tawil,"1,5,6,4,1",Verse,Lieder
Paris Hilton,"1,5,6,4,1",Chorus,Nothing In This World
Miriam Bryant,"1,5,6,4,1",Chorus,Push Play
John Denver,"1,5,6,4,1",Chorus,Take Me Home - Country Roads
Brad Paisley and Alison Krauss,"1,5,6,4,1",Chorus,Whiskey Lullaby
Dj Fortify,"1,5,6,4,1",Solo 1,PEWDIEPIE Song
Dj Fortify,"1,5,6,4,1",Solo 2,PEWDIEPIE Song
Alligatoah,"1,5,6,4,1",Intro,Willst Du
Alligatoah,"1,5,6,4,1",Chorus,Willst Du
Zedd-ft-Foxes,"1,5,6,4,1",Chorus,Clarity Vicetone Remix 
Bonnie Mckee,"1,5,6,4,1",Verse,American Girl
