,artist,cp,section,song,type,listener count (last.fm),play count (last.fm),genre (last.fm),popularity (Spotify),release date (Spotify)
6920,Steely Dan,"1,4,1",Intro,Gaucho,3 chord,36583,161402,steely dan,48,1980
6934,Johnny Nash,"1,4,1",Verse,I Can See Clearly Now,3 chord,134737,539029,reggae,54,1972
6965,New Politics,"1,4,1",Intro and Verse,Harlem,3 chord,149436,850582,rock,60,2013
6986,The Beach Boys,"1,4,1",Chorus,Kokomo,3 chord,304901,1342074,80s,69,2012
6991,Jack Johnson,"1,4,1",Verse,Let It Be Sung,3 chord,22952,75134,singer-songwriter,29,2006
6996,Jack Johnson,"1,4,1",Intro,I Got You,3 chord,169513,704216,acoustic,66,2013
7010,Jimi Hendrix,"1,4,1",Chorus,One Rainy Wish,3 chord,69222,239564,classic rock,53,1967
7028,Ween,"1,4,1",Verse,Transdermal Celebration,3 chord,44635,243304,rock,42,2003
7040,Beach Boys,"1,4,1",Intro,Don't Worry Baby,3 chord,211871,955840,60s,41,2012
7056,Eisley,"1,4,1",Verse and Pre-Chorus,Just Like We Do,3 chord,67140,351763,indie,25,2005
7060,Grace Potter,"1,4,1",Chorus,Something that I Want,3 chord,27461,163459,Disney,54,2010
7067,Lily Allen,"1,4,1",Verse,Air Balloon,3 chord,108932,786812,pop,45,2014
7082,Langhorne Slim,"1,4,1",Verse,Worries,3 chord,15520,55999,folk,31,2008
7097,Jackson 5,"1,4,1",Chorus,I Want You Back,3 chord,835043,4191823,motown,67,1993
7115,The Ramones,"1,4,1",Verse,Blitzkrieg Bop,3 chord,661651,3822799,punk,52,2017
7132,Carmen Twillie,"1,4,1",Chorus,Circle Of Life,3 chord,79886,288377,Soundtrack,25,2014
7144,The Beatles,"1,4,1",Verse,Lady Madonna,3 chord,539711,2907029,classic rock,43,2006
7164,Joe Cocker,"1,4,1",Verse and Pre-Chorus,You Are So Beautiful To Me,3 chord,238853,918817,classic rock,58,1974
7176,Modern English,"1,4,1",Verse,I Melt With You,3 chord,195820,844257,80s,52,1982
7191,Tom Waits,"1,4,1",Chorus,Martha,3 chord,173233,899583,blues,57,1973
7195,Empire Of The Sun,"1,4,1",Chorus,Alive,3 chord,265648,1771323,synthpop,62,2013
7243,Pomplamoose,"1,4,1",Verse and Pre-Chorus,River Shiver,3 chord,6458,23673,indie,25,2012
7249,The Sweet,"1,4,1",Intro and Verse,Ballroom Blitz,3 chord,244865,1133862,70s,62,1974
7285,John Denver,"1,4,1",Pre-Chorus and Chorus,Leaving On A Jet Plane,3 chord,151537,572679,country,52,1969
7295,Mr Big,"1,4,1",Verse and Pre-Chorus,To Be With You,3 chord,293703,1629936,rock,53,1996
7316,Def Leppard,"1,4,1",Pre-Chorus,Pour Some Sugar on Me,3 chord,351273,1874829,80s,49,2013
7327,Nino Ferrer,"1,4,1",Chorus,Le Sud,3 chord,31183,113954,french,29,2018
7337,Motion City Soundtrack,"1,4,1",Verse,Capital H,3 chord,130483,619886,alternative,36,2003
7384,The Lumineers,"1,4,1",Verse and Pre-Chorus,Stubborn Love,3 chord,436796,2963772,folk,67,2012
7402,Suzanne Ciani,"1,4,1",Verse,The Velocity of Love,3 chord,29480,96118,piano,17,1997
7455,Icona Pop,"1,4,1",Verse,I Love It,3 chord,501770,4368166,dance,65,2013
7461,Elliott Smith,"1,4,1",Verse,A Fond Farewell,3 chord,160823,987198,indie,43,2004
7518,Loverboy,"1,4,1",Chorus,Working For The Weekend,3 chord,219084,764493,80s,68,1981
7523,Kenny Loggins,"1,4,1",Verse,Footloose,3 chord,425355,1799897,80s,71,1997
7560,Madonna,"1,4,1",Intro,Ray Of Light,3 chord,331056,2036587,pop,59,1998
7598,Hozier,"1,4,1",Bridge,Take Me To Church,3 chord,697580,7337286,indie,77,2014
7623,Grouplove,"1,4,1",Pre-Chorus,Shark Attack,3 chord,56878,284346,indie pop,50,2013
7636,Pink Floyd,"1,4,1",Verse,Lost For Words,3 chord,206833,1359116,Progressive rock,57,1994
7640,Edith Piaf,"1,4,1",Chorus,Milord,3 chord,183238,790014,french,40,1987
7645,Echosmith,"1,4,1",Verse,Bright,3 chord,142471,729344,pop,65,2013
7655,The Mighty Mighty Bosstones,"1,4,1",Verse,The Punch Line,3 chord,17651,56100,ska,19,2002
7660,Tame Impala,"1,4,1",Intro,Endors Toi,3 chord,304190,1978516,Psychedelic Rock,59,2012
7681,Lucky Boys Confusion,"1,4,1",Chorus,Bossman,3 chord,8321,52720,USA,26,2001
7686,Girls' Generation,"1,4,1",Chorus,Lion Heart,3 chord,508,2614,k-pop,61,2015
7702,Jackson Browne,"1,4,1",Chorus,Running On Empty,3 chord,285709,951983,classic rock,14,2011
7762,Spongebob Squarepants,"1,4,1",Chorus,Campfire Song Song,3 chord,28000,75481,upbeat,51,2001
7788,Bahamas,"1,4,1",Chorus,Lost In The Light,3 chord,164574,750110,Mellow,67,2012
7799,John Mellencamp,"1,4,1",Chorus,Pink Houses,3 chord,156515,482232,classic rock,64,1983
7806,Pat Benatar,"1,4,1",Intro and Verse,Promises In The Dark,3 chord,33314,107841,80s,41,2008
7825,Hank Williams Sr,"1,4,1",Verse,I Saw The Light,3 chord,53666,149532,country,33,2019
7830,Skid Row,"1,4,1",Verse,I Remember You,3 chord,234711,1521262,hard rock,70,1989
7897,David Bowie,"1,4,1",Chorus,Space Oddity,3 chord,699670,4373605,classic rock,48,1997
7902,Syd Matters,"1,4,1",Chorus,Obstacles,3 chord,63726,631510,indie,60,2005
7932,They Might Be Giants,"1,4,1",Chorus Lead-Out,Doctor Worm,3 chord,33652,168015,rock,45,1998
7941,Ryn Weaver,"1,4,1",Verse and Pre-Chorus,The Fool,3 chord,26307,147828,wow,43,2015
7957,The Killers,"1,4,1",Intro,All These Things That I've Done,3 chord,1244119,8586775,rock,67,2004
7968,Adam Lambert,"1,4,1",Verse,Whataya Want from Me,3 chord,343391,3293866,pop,67,2009
7991,Neil Sedaka,"1,4,1",Chorus,Calendar Girl,3 chord,38806,124519,oldies,51,1959
8010,Lady Gaga,"1,4,1",Intro,Til It Happens To You,3 chord,52557,389070,pop,59,2015
8020,Elvis Presley,"1,4,1",Verse,Don't Be Cruel,3 chord,323444,1310335,rock n roll,63,1958
8044,Nina Simone,"1,4,1",Verse,I Wish I Knew How It Would Feel To Be Free,3 chord,209724,771804,jazz,62,1967
8052,Derrick Harriott,"1,4,1",Verse,Let Me Down Easy,3 chord,11919,38822,reggae,34,2012
8070,Tally Hall,"1,4,1",Outro,Good Day,3 chord,24173,159920,indie,40,2005
8092,Animal Collective,"1,4,1",Chorus,Brother Sport,3 chord,279341,2276189,motherfuckin rabbits ejaculating sunshine,41,2009
8103,Mar de Copas,"1,4,1",Verse,Ramera,3 chord,1384,7971,punk,44,2013
8110,Kelly Clarkson,"1,4,1",Pre-Chorus and Chorus,My Life Would Suck Without You,3 chord,437621,3245807,pop,64,2009
8114,Wang Chung,"1,4,1",Chorus,Everybody Have Fun Tonight,3 chord,121551,402121,80s,53,1986
8119,Wilco,"1,4,1",Chorus,ELT,3 chord,75414,321830,rock,33,1999
8152,John Denver,"1,4,1",Bridge,Take Me Home Country Roads,3 chord,333205,1458121,country,73,1971
8177,Slade,"1,4,1",Verse,Merry Xmas Everybody,3 chord,194688,623673,christmas,50,1973
8187,Augustana,"1,4,5",Verse,Boston,3 chord,355165,2812879,piano rock,68,2005
8202,Bob Dylan,"1,4,5",Chorus,Like A Rolling Stone,3 chord,985787,6169460,folk,73,1965
8207,Bon Jovi,"1,4,5",Chorus,Who says you can't go home,3 chord,94262,431342,rock,58,2005
8212,Bruno Mars,"1,4,5",Chorus,When I Was Your Man,3 chord,476848,3459213,pop,83,2012
8216,Counting Crows,"1,4,5",Verse,Round Here,3 chord,368082,1795233,rock,62,1993
8226,Diana Ross,"1,4,5",Verse,If We Hold On Together,3 chord,36619,125920,soul,39,1991
8231,Dire Straits,"1,4,5",Chorus,Money For Nothing,3 chord,762506,4438302,rock,64,1985
8250,Guns N' Roses,"1,4,5",Outro 2,November Rain,3 chord,993864,6691909,rock,82,1991
8255,John Denver,"1,4,5",Verse,Annie's Song,3 chord,158103,655880,country,70,1974
8263,Labrinth feat Emeli Sande,"1,4,5",Chorus,Beneath Your Beautiful,3 chord,175300,996788,pop,60,2013
8289,One Direction,"1,4,5",Chorus,What Makes You Beautiful,3 chord,452311,4025531,pop,68,2012
8303,Pink,"1,4,5",Chorus,Who Knew,3 chord,529163,3498201,pop,72,2006
8309,Rihanna,"1,4,5",Pre-Chorus,Unfaithful,3 chord,683974,3266755,pop,73,2006
8313,Ritchie Valen,"1,4,5",Chorus,La Bamba,3 chord,208866,731898,oldies,43,2015
8351,Weezer,"1,4,5",Chorus,Buddy Holly,3 chord,1027361,5997990,rock,73,1994
8386,James Blunt,"1,4,5",Chorus,You're Beautiful,3 chord,864754,5239474,pop,78,2005
8392,Porter Robinson,"1,4,5",Pre-Chorus,Unison,3 chord,65797,223659,electro house,41,2011
8397,The Beatles,"1,4,5",Pre-Chorus,All Together Now,3 chord,210882,899748,60s,47,2014
8417,Muse,"1,4,5",Pre-Chorus and Chorus,Time Is Running Out,3 chord,1241702,11238621,alternative rock,71,2004
8468,The Cure,"1,4,5",Chorus,Lovesong,3 chord,832259,6098838,80s,62,1989
8482,Wolfgang Gartner,"1,4,5",Pre-Chorus,Space Junk,3 chord,26317,84679,electro house,28,2011
8502,The Killers,"1,4,5",Intro,When You Were Young,3 chord,1390106,11084205,rock,77,2006
8512,Krewella,"1,4,5",Verse and Pre-Chorus,One Minute,3 chord,42289,244041,dubstep,44,2012
8518,The Fray,"1,4,5",Chorus,How To Save A Life,3 chord,1163649,9548818,alternative,82,2005
8529,Charles Wright,"1,4,5",Intro,Express Yourself,3 chord,44571,139869,funk,39,2007
8538,Green Day,"1,4,5",Verse,Stray Heart,3 chord,74280,477907,punk rock,59,2012
8547,Madonna,"1,4,5",Chorus,Material Girl,3 chord,487048,2317850,pop,75,2009
8563,Weird Al Yankovic,"1,4,5",Chorus,Everything You Know Is Wrong,3 chord,35467,137556,comedy,39,1996
8573,The Avett Brothers,"1,4,5",Verse,Kick Drum Heart,3 chord,122523,654535,folk,51,2009
8582,Queen,"1,4,5",Pre-Chorus and Chorus,Under pressure,3 chord,655960,4341235,classic rock,58,1982
8587,They Might Be Giants,"1,4,5",Verse,Where Your Eyes Don't Go,3 chord,26898,116092,alternative,25,1988
8594,Avicii,"1,4,5",Verse,Dear Boy,3 chord,119031,601854,electronic,60,2013
8608,Outkast,"1,4,5",Chorus,Hey Ya,3 chord,878648,3941834,acoustic,80,2003
8627,Rick Astley,"1,4,5",Chorus,Together Forever,3 chord,94370,397861,80s,29,2019
8649,UB40,"1,4,5",Intro and Verse,Red Red Wine,3 chord,275962,1148639,reggae,76,2000
8672,Howard Shore,"1,4,5",Verse,Concerning Hobbits,3 chord,259306,1475226,Soundtrack,65,2001
8687,Tamas Wells,"1,4,5",Verse,Valder Fields,3 chord,8382,45238,folk,35,2006
8696,The Troggs,"1,4,5",Verse,Wild Thing,3 chord,322998,1207441,60s,63,1966
8720,Green Day,"1,4,5",Chorus,Amy,3 chord,45522,243678,punk rock,48,2012
8737,Mental As Anything,"1,4,5",Intro and Verse,The Nips Are Getting Bigger,3 chord,7702,31037,australian,28,1979
8766,Jimmy Barnes,"1,4,5",Verse,Working Class Man,3 chord,20257,81451,rock,27,1985
8794,ThePianoGuys,"1,4,5",Intro,Berlin,3 chord,12818,82990,classical crossover,38,2013
8795,Sara Bareilles,"1,4,5",Intro,King of Anything,3 chord,214027,1356857,pop,66,2010
8850,The Who,"1,4,5",Pre-Chorus and Chorus,Pinball Wizard,3 chord,577004,2553536,classic rock,69,1969
8865,Jimmy Buffett,"1,4,5",Verse,Fins,3 chord,34736,128468,beach music,48,1985
8879,They Might Be Giants,"1,4,5",Chorus,Ana Ng,3 chord,89021,494873,alternative,39,1988
8897,Cro,"1,4,5",Intro,Einmal Um Die Welt,3 chord,71256,669419,german,60,2012
8947,Muse,"1,4,5",Verse,Guiding Light,3 chord,413281,2780384,alternative rock,51,2009
8956,The White Stripes,"1,4,5",Intro,My Doorbell,3 chord,500738,2582865,rock,50,2005
8962,Grum,"1,4,5",Chorus,Heartbeats,3 chord,43249,245405,electronic,35,2010
8989,Kate Bush,"1,4,5",Chorus,Wuthering Heights,3 chord,387477,2615986,female vocalists,69,1978
9006,Teenage Mutant Ninja Turtles,"1,4,5",Chorus,Pizza Power,3 chord,1384,4214,Soundtrack,29,1990
9010,Taylor Swift,"1,4,5",Chorus,Shake It Off,3 chord,405320,5416910,pop,68,2014
9027,The Shins,"1,4,5",Bridge,Phantom Limb,3 chord,555014,3643239,indie,60,2007
9032,The Proclaimers,"1,4,5",Verse,500 Miles,3 chord,514952,3130275,80s,76,2003
9037,Jonathan Coulton,"1,4,5",Chorus,I Feel Fantastic,3 chord,46870,280919,comedy,45,2008
9074,Simple Minds,"1,4,5",Verse,Don't You Forget About Me,3 chord,701719,3582675,80s,53,1985
9084,The White Stripes,"1,4,5",Verse,White Moon,3 chord,259120,925847,rock,32,2005
9112,Sloan,"1,4,5",Outro,She Says What She Means,3 chord,11217,54285,Canadian,28,1998
9128,Justin Bieber,"1,4,5",Chorus,Beauty And A Beat,3 chord,202562,1185938,pop,22,2016
9139,Soldat Louis,"1,4,5",Chorus,Juste une gigue en Do,3 chord,793,3833,french,27,1990
9164,Robert Francis,"1,4,5",Chorus,Junebug,3 chord,45906,309284,alternative,43,2009
9174,The Living End,"1,4,5",Chorus,All Torn Down,3 chord,30533,151170,punk,34,1999
9189,Spongebob Squarepants,"1,4,5",Pre-Chorus and Chorus,That's What Friends Do,3 chord,3039,7741,pop,35,2005
9199,Associates,"1,4,5",Verse,Party Fears Two,3 chord,35359,132039,new wave,40,1982
9227,Paul McCartney,"1,4,5",Verse and Pre-Chorus,Queenie Eye,3 chord,51808,251220,rock,34,2013
9232,Violens,"1,4,5",Verse,All Night Low,3 chord,6388,22526,shoegaze,7,2012
9251,Drake Bell,"1,4,5",Verse,I Found A Way,3 chord,18503,109552,pop,56,2005
9285,Go West,"1,4,5",Chorus,King Of Wishful Thinking,3 chord,54384,192262,80s,20,1990
9310,Tove Lo,"1,4,5",Verse and Pre-Chorus,Talking Body,3 chord,270511,2235574,pop,67,2014
9316,Paramore,"1,4,5",Intro,Pressure,3 chord,383492,3672492,rock,61,2005
9326,Reel Big Fish,"1,4,5",Intro,I Want Your Girlfriend To Be My Girlfriend Too,3 chord,80983,353772,ska,33,1998
9358,Vance Joy,"1,4,5",Bridge,Georgia,3 chord,239009,1250174,alternative rock,72,2014
9377,Rush,"1,4,5",Outro,Subdivisions,3 chord,136555,833278,Progressive rock,55,1982
9382,Rednex,"1,4,5",Chorus,Cotton Eye Joe,3 chord,283793,994580,country,60,1995
9387,The Mighty Mighty Bosstones,"1,4,5",Verse,The Magic of Youth,3 chord,4670,16310,male vocalist,14,2011
9398,Stone Sour,"1,4,5",Chorus,Through Glass,3 chord,703485,5935401,rock,73,2006
9417,Shinedown,"1,4,5",Verse and Pre-Chorus,Second Chance,3 chord,293296,2309020,rock,69,2008
9427,Queen,"1,4,5",Verse,Need Your Loving Tonight,3 chord,67068,276044,rock,31,1980
9436,Native Construct,"1,4,5",Chorus,Chromatic Aberration,3 chord,5078,32743,Progressive metal,29,2015
9441,Chvrches,"1,4,5",Chorus,Dead Air,3 chord,68711,393105,synthpop,48,2014
9505,Rustie,"1,4,5",Chorus,After Light,3 chord,69693,302971,dubstep,35,2011
9510,The Cinematics,"1,4,5",Chorus,A Strange Education,3 chord,100119,438475,indie,40,2007
9515,The Shins,"1,4,5",Chorus,Simple Song,3 chord,398381,2658111,indie,65,2012
9535,Sia,"1,4,5",Bridge,Cellophane,3 chord,94843,507973,female vocalists,45,2015
9555,Radiohead,"1,4,5",Chorus,Let Down,3 chord,937213,6876239,alternative,62,1997
9560,Billy Joel,"1,4,5",Intro and Verse,Honesty,3 chord,141369,565988,70s,60,1978
9565,Shawn Mendes,"1,4,5",Verse and Pre-Chorus,Stitches,3 chord,294989,2627517,pop,76,2015
9572,Mutemath,"1,4,5",Chorus,Typical,3 chord,101212,761886,rock,43,2006
9593,Regina Spektor,"1,4,5",Chorus,Fidelity,3 chord,776611,5840190,female vocalists,55,2006
9611,Bob Seger,"1,4,5",Chorus,Hollywood Nights,3 chord,108653,317729,classic rock,61,1978
9625,Lita Ford,"1,4,5",Chorus,Kiss Me Deadly,3 chord,89144,319937,80s,56,1988
9646,Stephen,"1,4,5",Pre-Outro,Crossfire,3 chord,56821,367334,indie,67,2015
9659,Rudimental,"1,4,5",Chorus,Lay It All On Me,3 chord,8026,32121,pop,55,2015
9670,Rick Springfield,"1,4,5",Chorus,Human Touch,3 chord,19534,58665,80s,33,2018
9675,GFriend,"1,4,5",Chorus,Me Gustas Tu,3 chord,483,2582,pop,64,2015
9682,Houndmouth,"1,4,5",Chorus,Sedona,3 chord,123207,609415,american,69,2015
9687,Houndmouth,"1,4,5",Chorus,Say It,3 chord,16654,48957,as seen on TV,46,2015
9693,Tori Kelly,"1,4,5",Chorus,Hollow,3 chord,59278,281272,american,59,2015
9695,Coldplay,"1,4,5",Verse,A Head Full Of Dreams,3 chord,132304,692520,alternative rock,70,2015
9701,Eisley,"1,4,5",Verse,Drink The Water,3 chord,10453,54098,indie pop,21,2013
9711,Renaud,"1,4,5",Verse,Manhattan-Kaboul,3 chord,16795,58555,2002,62,2002
9736,Tally Hall,"1,4,5",Verse,Haiku,3 chord,12107,74235,alternative,38,2005
9746,Fleetwood Mac,"1,4,5",Intro and Verse,Gypsy,3 chord,291359,1531099,classic rock,72,1988
9761,Juice Newton,"1,4,5",Verse,Angel Of The Morning,3 chord,80439,343118,80s,16,2009
9776,The Weepies,"1,4,5",Verse,All That I Want,3 chord,37314,206999,christmas,35,2004
9795,They Might Be Giants,"1,4,5",Chorus,Don't Let's Start,3 chord,73199,370437,alternative,45,1986
9800,Petula Clark,"1,4,5",Verse,Downtown,3 chord,200324,963383,60s,58,2003
9805,Daniel Boone,"1,4,5",Chorus,Beautiful Sunday,3 chord,33202,111110,70s,48,2013
9810,Blondie,"1,4,5",Verse,Sunday Girl,3 chord,216028,875883,new wave,45,1981
9825,Rilo Kiley,"1,4,5",Chorus,Breakin' Up,3 chord,146831,942449,indie,42,2007
9842,Toby Fox,"1,4,5",Verse,Dogsong,3 chord,13220,66062,cancer,50,2016
9849,Unknown Mortal Orchestra,"1,4,5",Verse,Multi-Love,3 chord,187455,1143991,indie,66,2015
9861,Dario G,"1,4,5",Intro,Sunchyme,3 chord,44743,243432,dance,51,1998
9888,CHVRCHES,"1,4,5",Chorus,Leave a Trace,3 chord,187570,1472145,electronic,54,2015
9893,Duran Duran,"1,4,5",Pre-Chorus and Chorus,Come Undone,3 chord,292310,1755526,80s,68,1993
9899,No Doubt,"1,4,5",Chorus,Underneath It All,3 chord,290451,1305621,ska,60,2001
9905,Vampire Weekend,"1,4,5",Intro,Cape Cod Kwassa Kwassa,3 chord,723575,4820107,indie rock,56,2008
9946,Red Hot Chili Peppers,"1,4,5",Intro,Goodbye Angels,3 chord,113435,606426,alternative rock,66,2016
9960,Blink-182,"1,4,5",Chorus,Teenage Satellites,3 chord,43465,232378,punk rock,47,2016
9980,Britney Spears,"1,4,6",Chorus,Till The World Ends,3 chord,418968,5326372,pop,65,2011
9984,Counting Crows,"1,4,6",Chorus,Anna Begins,3 chord,220566,1029146,rock,50,1993
10003,Demi Lovato,"1,4,6",Chorus,Skyscraper,3 chord,227908,2286047,pop,68,2011
10007,Fine Young Cannibals,"1,4,6",Chorus,She Drives Me Crazy,3 chord,346500,1525072,80s,73,1988
10028,Nirvana,"1,4,6",Verse,Smells Like Teen Spirit,3 chord,2108507,16537694,Grunge,76,1991
10032,No Doubt,"1,4,6",Pre-Chorus,It's My Life,3 chord,374204,1973497,pop,59,2003
10057,Avril Lavigne,"1,4,6",Verse,What the hell,3 chord,348465,3517277,pop rock,74,2011
10066,Cher Lloyd feat Becky G,"1,4,6",Chorus,Oath,3 chord,22755,136989,female vocalists,58,2012
10071,Wiz Khalifa,"1,4,6",Chorus,No Sleep,3 chord,235116,1196706,Hip-Hop,67,2011
10084,Matchbox 20,"1,4,6",Intro,Unwell,3 chord,345545,1951008,rock,65,2007
10100,Blink 182,"1,4,6",Verse,Adam's Song,3 chord,784316,6143948,punk rock,71,1999
10104,Motion City Soundtrack,"1,4,6",Chorus,Everything Is Alright,3 chord,278378,2074470,rock,64,2005
10128,Sean Paul,"1,4,6",Pre-Chorus,Other Side Of Love,3 chord,50733,210744,2013,54,2013
10132,Celine Dion,"1,4,6",Chorus,That's the Way It Is,3 chord,125650,626849,pop,67,1999
10146,The Lumineers,"1,4,6",Bridge,Ho Hey,3 chord,829607,7335104,indie,71,2012
10151,Carolina Liar,"1,4,6",Intro,Show Me What I'm Looking For,3 chord,164890,1062865,alternative rock,65,2008
10162,M83,"1,4,6",Chorus,Midnight City,3 chord,1001554,10937036,electronic,72,2011
10179,Regina Spektor,"1,4,6",Intro,Eet,3 chord,291138,2117701,piano,55,2009
10184,Helloween,"1,4,6",Chorus,Don't stop being crazy,3 chord,27024,136125,Power metal,20,2000
10193,The Killers,"1,4,6",Chorus,Mr Brightside,3 chord,2025975,20182748,rock,79,2004
10198,Relient K,"1,4,6",Chorus,Forgiven,3 chord,53257,280675,christian rock,37,2007
10204,The Neighbourhood,"1,4,6",Chorus,Float,3 chord,82590,484488,indie,53,2013
10220,Journey,"1,4,6",Pre-Chorus and Chorus,Faithfully,3 chord,315726,1572439,80s,70,1983
10225,Max Richter,"1,4,6",Chorus,On the Nature of Daylight,3 chord,200278,1104792,Classical,55,2013
10245,One Republic,"1,4,6",Chorus Lead-Out,Good Life,3 chord,462861,3235505,alternative,73,2009
10265,Citizens,"1,4,6",Intro,Made Alive,3 chord,5216,33486,mars hill,49,2013
10266,Kelly Clarkson,"1,4,6",Chorus,Since U Been Gone,3 chord,661239,3684040,pop,75,2004
10286,Florida Georgia Line,"1,4,6",Chorus,Dirt,3 chord,49754,255963,country,64,2014
10298,John Mayer,"1,4,6",Chorus,Born and Raised,3 chord,102996,579659,john mayer,62,2012
10303,Thomas Azier,"1,4,6",Chorus,Red Eyes,3 chord,22716,118836,electronic,40,2014
10309,Tove Lo,"1,4,6",Pre-Chorus,Stay High - Habits Remix,3 chord,255071,1714716,electronic,33,2019
10319,Aqualung,"1,4,6",Chorus,Brighter Than Sunshine,3 chord,305989,1795710,indie,50,2005
10324,Daughter,"1,4,6",Intro,Youth,3 chord,471633,4494862,indie,65,2013
10329,Brand New,"1,4,6",Verse,The Quiet Things That No One Ever Knows,3 chord,378355,3480557,emo,57,2003
10337,John Mayer,"1,4,6",Chorus,Say,3 chord,229853,1431459,acoustic,63,2006
10343,Foreigner,"1,4,6",Verse,I Want To Know What Love Is,3 chord,451677,2001594,80s,36,2011
10347,Gabriel Rios,"1,4,6",Bridge,Baby Lone Star,3 chord,7705,26440,gabriel rios,11,2007
10365,Ingrid Michaelson,"1,4,6",Chorus,Girls Chase Boys,3 chord,121913,663466,pop,62,2014
10376,U2,"1,4,6",Verse,Sunday Bloody Sunday,3 chord,698576,3898334,rock,42,2006
10392,Ariana Grande,"1,4,6",Chorus,Santa Tell Me,3 chord,193647,1043630,christmas,73,2014
10397,GRL,"1,4,6",Verse,Ugly Heart,3 chord,116443,816625,pop,68,2014
10422,Tim McGraw,"1,4,6",Chorus,Live Like You Were Dying,3 chord,101192,444045,country,69,2004
10433,Ariana Grande,"1,4,6",Chorus,One Last Time,3 chord,334155,3674138,pop,82,2014
10471,The xx,"1,4,6",Chorus,Intro,3 chord,1118384,13383203,indie,66,2009
10497,Shinedown,"1,4,6",Verse,45,3 chord,149155,1128978,rock,68,2003
10506,Sara Bareilles,"1,4,6",Chorus,Brave,3 chord,203768,1491994,dance,72,2013
10540,Modest Mouse,"1,4,6",Verse,Ocean Breathes Salty,3 chord,510706,2972992,indie,56,2004
10559,Tame Impala,"1,4,6",Pre-Chorus and Chorus,Eventually,3 chord,274907,2078504,Psychedelic Rock,71,2015
10574,Ashes Remain,"1,4,6",Intro,Right Here,3 chord,17853,146941,rock,49,2011
10584,Yeah Yeah Yeahs,"1,4,6",Instrumental,Skeletons,3 chord,348256,1848595,indie,42,2009
10592,Demi Lovato,"1,4,6",Verse and Pre-Chorus,Stone Cold,3 chord,108645,977862,pop,79,2015
10603,Miike Snow,"1,4,6",Chorus,Genghis Khan,3 chord,143889,1030367,electropop,66,2016
10623,Bloc Party,"1,4,6",Verse,Banquet,3 chord,1029843,8139627,indie,62,2005
10635,Melanie Martinez,"1,4,6",Verse and Pre-Chorus,Pity Party,3 chord,136422,1317243,alternative,71,2015
10670,Echo and the Bunnymen,"1,4,6",Bridge,The Killing Moon,3 chord,603973,3568493,80s,66,1985
10676,Lord Huron,"1,4,6",Verse,The Stranger,3 chord,54773,228165,folk,46,2010
10681,Lord Huron,"1,4,6",Verse,Love Like Ghosts,3 chord,40515,202071,pop,57,2015
10684,Lord Huron,"1,4,6",Verse,Meet Me In The Woods,3 chord,50738,285986,americana,60,2015
10685,NONONO,"1,4,6",Chorus,Pumpin Blood,3 chord,206045,1132014,swedish,57,2014
10715,One Direction,"1,4,6",Chorus,Story Of My Life,3 chord,282660,2263334,pop,81,2013
10730,Jacob Sartorius,"1,4,6",Verse,Sweatshirt,3 chord,6929,20445,Brutal Death Metal,53,2016
10746,Sheryl Crow,"1,4,6",Chorus,Strong Enough,3 chord,197632,734969,female vocalists,62,1993
10757,Alt-J,"1,6,4",Verse,Something Good,3 chord,449183,4256716,indie,58,2012
10766,Bruno Mars,"1,6,4",Chorus,Just The Way You Are,3 chord,733769,5915234,pop,81,2010
10789,Justin Bieber,"1,6,4",Verse,Baby,3 chord,371874,2485486,justin bieber,77,2010
10822,Ricky Nelson,"1,6,4",Chorus,Poor Little Fool,3 chord,53586,139135,oldies,37,1990
10826,Sam Cooke,"1,6,4",Chorus,Wonderful World,3 chord,240409,931643,soul,34,2015
10832,Sting,"1,6,4",Verse,Fields Of Gold,3 chord,526013,2952476,sting,21,1996
10837,Taylor Swift,"1,6,4",Chorus,Starlight,3 chord,109676,983210,alternative rock,54,2012
10860,Ace Of Base,"1,6,4",Chorus,I Saw The Sign,3 chord,334851,1534004,pop,70,1993
10864,Aerosmith,"1,6,4",Chorus,Crazy,3 chord,658742,3522535,rock,75,1993
10883,The Police,"1,6,4",Intro,Every Breath You Take,3 chord,998833,5480328,80s,85,1983
10907,Elton John,"1,6,4",Bridge,Crocodile Rock,3 chord,367461,1415509,classic rock,73,1973
10912,Maroon 5,"1,6,4",Chorus,Daylight,3 chord,244140,1607946,Hip-Hop,59,2012
10927,Whitney Houston,"1,6,4",Chorus,I Will Always Love You,3 chord,551483,2478172,female vocalists,78,1992
10933,Hoobastank,"1,6,4",Verse,The Reason,3 chord,998258,6055724,rock,77,2018
10948,Lindsey Stirling,"1,6,4",Intro,Song of the Caged Bird,3 chord,74726,565463,instrumental,48,2012
10953,O-Town,"1,6,4",Verse,All Or Nothing,3 chord,85688,345703,pop,55,2001
10958,Enrique Iglesias,"1,6,4",Intro,Hero,3 chord,317323,1676380,pop,63,2001
10967,Red Hot Chili Peppers,"1,6,4",Bridge,Otherside,3 chord,1392870,10868301,rock,80,1999
10985,Armin van Buuren,"1,6,4",Intro,This Is What It Feels Like,3 chord,214433,1377550,trance,67,2013
11004,Britney Spears,"1,6,4",Chorus,Lucky,3 chord,262018,1732068,pop,67,2000
11037,Paul Mauriat,"1,6,4",Verse,Love is Blue,3 chord,62027,238901,instrumental,44,1987
