artist,cp,section,song,type
David Wise,"1,2,3",Verse,Bayou Boogie,3 chord
David Wise,"1,5,4",Verse,Donkey Kong Bonus,3 chord
David Wise,"4,6,4",Verse,Donkey Kong Country - Aquatic Ambience,3 chord
David Wise,"1,6,2",Intro and Verse,Donkey Kong Country Theme Song,3 chord
David Wise,"1,4,6",Verse,In a Snow-Bound Land,3 chord
Dawid Podsiadlo,"1,4,5",Verse,Trojkaty i Kwadraty,3 chord
Dax Johnson,"4,5,3",Verse,A Moment In The Life Of Me,3 chord
Dax Johnson,"1,5,4",Chorus,The Random And The Purpose,3 chord
Daya,"1,6,4",Chorus,Hide Away,3 chord
Daya,"1,4,5",Chorus,Sit Still Look Pretty,3 chord
Daze,"1,5,6",Chorus,Sea Of Love -Remix-,3 chord
Dead,"4,6,5",Chorus,Coffe,3 chord
Dead Or Alive,"1,2,5",Chorus,You Spin Me Round -Like a Record-,3 chord
Deadmau5,"1,4,5",Chorus,Brazil,3 chord
Deadmau5,"6,1,2",Intro and Verse,Imaginary Friends,3 chord
Deadmau5,"1,5,4",Chorus,October,3 chord
Deadmau5,"4,5,6",Pre-Chorus,Raise Your Weapon - Madeon Remix,3 chord
Deadmau5,"6,4,2",Intro and Verse,Right This Second,3 chord
Deadmau5,"4,6,5",Chorus,There Might Be Coffee,3 chord
Deadmau5,"6,3,4",Bridge,Your Ad Here,3 chord
Deakin,"4,5,4",Verse and Pre-Chorus,Golden Chords,3 chord
Dear David,"1,2,6",Pre-Chorus,I've Been Waiting,3 chord
Death Cab For Cutie,"1,6,5",Verse,The Ice Is Getting Thinner,3 chord
Death Cab For Cutie,"1,2,4",Verse,The Sound of Settling,3 chord
Death Cab for Cutie,"1,5,6",Chorus,I Will Follow You Into the Dark,3 chord
Death Cab for Cutie,"1,2,4",Chorus,Title and Registration,3 chord
Deathro,"4,5,6",Bridge,Mega Man Infamous Intent - Archer Training,3 chord
Deathro,"1,5,6",Chorus,Mega Man Infamous Intent - Gryphon Flight,3 chord
Deathro,"4,6,5",Outro,Mega Man Infamous Intent - Hunt of the Reaper,3 chord
Deathro,"4,5,6",Intro,Mega Man Infamous Intent -Barbarian Plain,3 chord
Debbie Gibson,"4,1,5",Intro,Only In My Dreams,3 chord
Debbie Gibson,"1,6,4",Chorus,Out Of The Blue,3 chord
Deep Blue Something,"1,5,6",Chorus,Breakfast At Tiffany's,3 chord
Deep Purple,"4,5,4",Intro,Smoke on the Water,3 chord
Deep Purple,"4,5,1",Pre-Chorus and Chorus,Soldier Of Fortune,3 chord
Deerhunter,"1,5,2",Verse,Coronado,3 chord
Def Leppard,"4,5,6",Chorus,Bringin' On The Heartbreak,3 chord
Def Leppard,"1,4,1",Pre-Chorus,Pour Some Sugar on Me,3 chord
Deitrick Haddon,"1,5,6",Chorus,He's Able,3 chord
Del Amitri,"1,5,4",Verse,Nothing Ever Happens,3 chord
Delain,"1,5,6",Chorus,Are You Done With Me,3 chord
Delain,"4,5,6",Chorus,Sing to Me,3 chord
Delain,"4,1,5",Chorus,Your Body is a Battleground,3 chord
Delphic,"6,1,3",Chorus,This Momentary,3 chord
Delta Rae,"1,6,4",Chorus,If I Loved You,3 chord
Delta Rhythm Boys,"1,5,1",Verse,Alouette,3 chord
Demi Lovato,"4,5,6",Verse,Body Say,3 chord
Demi Lovato,"1,6,5",Bridge,Give Your Heart A Break,3 chord
Demi Lovato,"6,4,1",Verse,Heart Attack,3 chord
Demi Lovato,"1,5,2",Chorus,Here We Go Again,3 chord
Demi Lovato,"1,4,6",Chorus,Skyscraper,3 chord
Demi Lovato,"1,4,6",Verse and Pre-Chorus,Stone Cold,3 chord
Denis M Hannigan,"1,5,1",Chorus,Recess Theme,3 chord
Denver the Last Dinosaur,"1,5,4",Chorus,Denver the Last Dinosaur Theme Song,3 chord
Depeche Mode,"1,6,1",Intro,Enjoy the Silence,3 chord
Depeche Mode,"1,5,2",Verse,Never Let Me Down Again,3 chord
Der Tourist,"6,1,5",Intro,Supergeil,3 chord
Derrick Harriot,"4,1,4",Intro,Let ME Down Easy,3 chord
Derrick Harriott,"1,4,1",Verse,Let Me Down Easy,3 chord
Destiny's Child,"6,2,6",Chorus,Bug A Boo,3 chord
Destiny's Child,"6,2,6",Chorus,Independent Women Part 1,3 chord
Destiny's Child,"6,4,2",Chorus,Say My Name,3 chord
Detail and Tiiu,"6,5,4",Verse,Days Go By,3 chord
Dethklok,"1,5,6",Intro and Verse,Awaken,3 chord
Deuce,"1,5,6",Chorus,The One,3 chord
Devin Townsend,"4,5,6",Verse and Pre-Chorus,Feather,3 chord
Devin Townsend,"5,1,4",Intro,True North,3 chord
Dexys Midnight Runners,"1,5,1",Verse,Come On Eileen,3 chord
Diana Ross,"1,4,5",Verse,If We Hold On Together,3 chord
Dido,"4,5,1",Verse,Thank You,3 chord
Dido,"1,5,2",Chorus,White Flag,3 chord
Die Drogen,"6,4,5",Intro,Du Bist Die Sonne,3 chord
Different Heaven,"1,5,6",Pre-Chorus,My Heart,3 chord
Different Heaven,"1,5,6",Chorus,Nekozilla,3 chord
Dillon Francis,"1,5,2",Verse,IDGAFOS,3 chord
Dillon Francis and Kygo,"1,2,6",Chorus,Coming Over ft James Hersey,3 chord
Dillon Francis and Sultan and Ned Shepard,"4,5,6",Chorus,When We Were Young - Vicetone Remix,3 chord
Dimitri Vangelis and Wyman,"1,5,1",Chorus,ID2,3 chord
Dimitri Vangelis and Wyman,"5,2,6",Chorus,Silver Sun - Lights Anthem,3 chord
Dimitri Vegas - MOGUAI and Like Mike,"1,2,3",Chorus,Mammoth,3 chord
Dimitri Vegas and Like Mike,"4,5,6",Chorus,Find Tomorrow - Ocarina,3 chord
Dinka,"6,5,6",Chorus,Lotus - Soundprank Remix,3 chord
Dinka,"4,6,5",Chorus,Never Let Go,3 chord
Dinosaur Jr,"1,4,5",Chorus,Tiny,3 chord
Dinosaurs,"1,5,4",Chorus,Yee,3 chord
Dio,"4,5,6",Chorus,Rainbow in the Dark,3 chord
Dion and the Belmonts,"1,4,5",Chorus,Teenager in Love,3 chord
Diplo and Sleepy Tom,"1,5,6",Pre-Chorus,Be Right There,3 chord
Dire Straits,"4,5,6",Verse,Brothers In Arms,3 chord
Dire Straits,"1,4,5",Chorus,Money For Nothing,3 chord
Dire Straits,"1,5,1",Verse,Skateaway,3 chord
Dire Straits,"1,5,4",Chorus,Sultans of Swing,3 chord
Dirty Projectors,"5,1,4",Verse,Dance For You,3 chord
Dirty South,"1,5,4",Chorus,Alive - Blinders Remix,3 chord
Disasterpeace,"5,2,1",Verse,Adventure,3 chord
Disasterpeace,"1,5,4",Verse,FEZ - Home,3 chord
Disclosure,"1,6,2",Chorus,Magnets ft Lorde,3 chord
Disclosure,"6,3,6",Intro,White Noise feat AlunaGeorge,3 chord
Disgaea,"1,2,5",Intro and Verse,Prinny My Love,3 chord
Disney,"1,5,1",Verse,A Whole New World,3 chord
Disney,"1,4,5",Chorus,Can You Feel The Love Tonight,3 chord
Disney,"4,5,3",Chorus,Colors Of The Wind,3 chord
Disney,"4,1,4",Chorus,Hakuna Matata,3 chord
Disney,"1,5,4",Chorus Lead-Out,I'll Make A Man Out Of You,3 chord
Disney,"1,5,4",Verse,Kiss The Girl,3 chord
Disney,"1,6,2",Verse,Reflection,3 chord
Disney ,"1,4,5",Pre-Chorus,I'll Make A Man Out Of You,3 chord
Disney - Hercules,"1,4,5",Chorus,I Can Go The Distance,3 chord
Disney Jodi Benson,"4,5,6",Pre-Chorus,Part of Your World,3 chord
Dispatch,"1,5,2",Verse,The General,3 chord
Disperse,"1,6,2",Chorus,Message From Atlantis,3 chord
Divine,"1,5,2",Chorus,I'm So Beautiful,3 chord
Dixie Chicks,"1,5,4",Chorus,Goodbye Earl,3 chord
Dj Encore feat Engelina,"1,4,5",Chorus,I See Right Through To You,3 chord
Dj Fortify,"1,5,6",Solo 1,PEWDIEPIE Song,3 chord
Dj Sammy,"1,4,5",Intro,Heaven,3 chord
Dobu Usagi,"1,2,5",Intro,Thor's Hammer,3 chord
Dolly Parton,"1,5,6",Chorus,Jolene,3 chord
Dom Fera,"1,6,4",Verse,Deck'd,3 chord
Don Diablo feat Emeni,"6,5,6",Instrumental,Universe,3 chord
Don Henley,"1,5,4",Chorus,The Boys of Summer,3 chord
Don McLean,"1,5,6",Chorus,American Pie,3 chord
Donna Lewis,"1,5,1",Chorus,I Love You Always Forever,3 chord
Donna Summer,"6,5,6",Intro,Hot Stuff,3 chord
Donna Summer,"4,5,1",Chorus,I Feel Love,3 chord
Donna Summer,"5,4,6",Intro,MacArthur Park,3 chord
Donovan,"1,5,1",Outro,Atlantis,3 chord
Dooley Wilson,"1,5,1",Verse,As Time Goes By,3 chord
Double Take,"1,5,4",Chorus,Hot Problems,3 chord
Doug Hammer,"4,5,6",Intro,In The Fields,3 chord
Douglas Firs,"1,4,5",Chorus,Shimmer and Glow,3 chord
Dousk,"1,2,3",Chorus,Winchme,3 chord
Downgoes Fraser,"4,5,4",Chorus,Why You Always Lying,3 chord
Dr DRE,"6,3,6",Instrumental,Still Dre,3 chord
Dragonforce,"1,5,4",Chorus,Through the Fire and Flames,3 chord
Drake,"4,6,5",Chorus,Hold On We're Going Home,3 chord
Drake,"1,4,5",Chorus,Marvin's Room,3 chord
Drake,"1,2,6",Verse,One Dance,3 chord
Drake,"4,6,5",Verse,Take Care,3 chord
Drake,"6,5,6",Intro and Verse,Trophies,3 chord
Drake Bell,"1,4,5",Verse,I Found A Way,3 chord
Drake Bell,"1,6,2",Chorus,In The End,3 chord
Drake ft Rihanna,"4,6,5",Intro,Take Care,3 chord
Dream Theater,"6,5,4",Verse,Another Day,3 chord
Driftless Pony Club,"1,5,4",Verse,House of 1982- Built Like A Ship,3 chord
Druid and Sharkey,"5,4,1",Chorus,Rocket To The Moon,3 chord
Dschinghis Khan,"1,2,6",Chorus,Moskau,3 chord
Dubvision,"6,3,4",Chorus,Backlash,3 chord
Dubvision,"4,6,5",Chorus,Broken,3 chord
Duck Sauce,"5,2,4",Chorus,Barbra Streisand,3 chord
Duke Ellington,"1,5,1",Verse,C Jam Blues,3 chord
Dung Truong,"1,6,2",Loop,Allusion World,3 chord
Duran Duran,"1,4,5",Pre-Chorus and Chorus,Come Undone,3 chord
Duran Duran,"1,5,4",Chorus,Hungry Like The Wolf,3 chord
Duran Duran,"4,1,5",Chorus,Rio,3 chord
Dustin Kensrue,"1,6,5",Verse,It Is Finished,3 chord
Dustin Kensrue,"1,4,1",Verse,Rejoice,3 chord
Dusty Springfield,"1,4,1",Bridge,I Only Want To Be With You,3 chord
Dusty Springfield,"1,6,2",Chorus,You Don't Have to Say You Love Me,3 chord
Dzeko and Torres,"1,5,6",Chorus,Air,3 chord
Dzeko and Torres,"6,4,1",Chorus,L'Amour Toujours - Tiesto Edit,3 chord
Dzeko-and-Torres-vs-Sarah-McLeod,"1,2,6",Chorus,Hurricane,3 chord
E-Type,"1,6,2",Intro,Angels Crying,3 chord
E-Type,"6,3,4",Chorus,Back 2 Life,3 chord
E-Type,"6,1,5",Chorus,This Is The Way,3 chord
EDX,"1,2,6",Chorus,Cool You Off,3 chord
ES Posthumus,"5,6,4",Verse,Antissa,3 chord
Eagle Eye Cherry,"1,5,6",Intro,Save Tonight,3 chord
Eagles,"1,2,6",Chorus,Hotel California,3 chord
East and Young,"4,1,5",Chorus,Starting Again,3 chord
Echo and the Bunnymen,"1,4,6",Bridge,The Killing Moon,3 chord
Echosmith,"1,4,1",Verse,Bright,3 chord
Echosmith,"1,5,6",Chorus,Cool Kids,3 chord
Echotape,"6,4,2",Chorus,Far From Heaven,3 chord
Ed Sheeran,"1,5,4",Verse,I See Fire,3 chord
Ed Sheeran,"4,5,1",Chorus,Lego House,3 chord
Ed Sheeran,"1,6,5",Verse,Photograph,3 chord
Ed Sheeran,"1,2,5",Pre-Chorus and Chorus,Thinking Out Loud,3 chord
Ed Sheeran ,"1,6,4",Chorus,Give Me Love,3 chord
Eddie Money,"6,5,6",Verse,Shakin,3 chord
Edith Piaf,"1,4,1",Chorus,Milord,3 chord
Edith Piaf,"6,1,4",Chorus,Padam Padam,3 chord
Edvard Grieg,"1,6,1",Intro,Morning Mood,3 chord
Edvard Grieg,"6,5,1",Verse,Solveig's Song,3 chord
Edward Maya,"1,5,6",Instrumental,Stereo Love,3 chord
Ehrencrona,"1,5,4",Verse,This is so Good,3 chord
Eiffel65,"6,5,4",Instrumental,Blue,3 chord
Eiffel65,"4,5,6",Chorus,Hyperlink - Deep Down,3 chord
Eiffel65,"1,5,2",Instrumental,Living In A Bubble,3 chord
Eir Aoi,"1,2,3",Verse,Sirius,3 chord
Eisley,"1,4,5",Verse,Drink The Water,3 chord
Eisley,"1,4,1",Bridge,Go Away,3 chord
Eisley,"1,5,6",Chorus,I Wish,3 chord
Eisley,"1,4,1",Verse and Pre-Chorus,Just Like We Do,3 chord
Eisley,"1,6,4",Chorus,Lost At Sea,3 chord
Eisley,"1,2,1",Chorus,Marvelous Things,3 chord
Ela Rose,"6,3,6",Chorus,Lovely Words,3 chord
Ela Rose ft David Deejay,"6,4,1",Chorus,I Can Feel,3 chord
Electric Light Orchestra,"1,6,4",Verse,Can't Get It Out Of My Head,3 chord
Electric Light Orchestra,"1,5,4",Bridge,Do Ya,3 chord
Electric Light Orchestra,"4,5,1",Verse,Mr Blue Sky,3 chord
Electric Light Orchestria,"1,5,6",Verse,Rockaria,3 chord
Eli Young Band,"1,5,4",Chorus,Crazy Girl,3 chord
Eli Young Band,"1,5,4",Verse,Even If It Breaks Your Heart,3 chord
Elizabeth and The Catapult,"4,5,1",Chorus,You And Me,3 chord
Ella Eyre,"1,5,4",Chorus,If I Go,3 chord
Ella Fitzgerald,"1,6,5",Verse,Ev'ry Time You Say Goodbye,3 chord
Ella Henderson,"1,6,5",Chorus,Ghost,3 chord
Elle King,"1,5,6",Chorus,Ex's And Oh's,3 chord
Ellie Goulding,"5,6,4",Intro,Burn,3 chord
Ellie Goulding,"4,6,5",Chorus,Figure 8,3 chord
Ellie Goulding,"1,4,5",Chorus,Guns And Horses,3 chord
Ellie Goulding,"6,5,4",Chorus,Lights,3 chord
Ellie Goulding,"1,4,6",Chorus,Lost And Found,3 chord
Ellie Goulding,"4,5,6",Verse,Love Me Like You Do,3 chord
Ellie Goulding,"4,5,6",Chorus,On My Mind,3 chord
Ellie Goulding,"5,6,5",Solo,Tessellate,3 chord
Ellie Goulding,"6,5,4",Intro,This Love Will Be Your Downfall,3 chord
Ellie Goulding,"4,6,5",Verse and Pre-Chorus,You My Everything,3 chord
Ellie Lawson,"1,4,1",Chorus,Calling You - Vadim Spark Remix,3 chord
Elliott Smith,"1,4,1",Verse,A Fond Farewell,3 chord
Elliott Smith,"1,6,4",Chorus,Miss Misery,3 chord
Elliott Smith,"4,5,6",Bridge,Say Yes,3 chord
Elliott Smith,"1,6,4",Verse,The Biggest Lie,3 chord
Elmer Bernstein,"1,5,4",Verse,Ghostbusters,3 chord
Elmer Bernstein,"1,4,1",Verse,The Magnificent Seven Theme,3 chord
Elmer Bernstein,"1,4,6",Intro,The Sons of Katie Elder Theme,3 chord
Elton John,"4,1,4",Chorus,Can You Feel the Love Tonight,3 chord
Elton John,"1,6,4",Bridge,Crocodile Rock,3 chord
Elton John,"1,5,1",Verse,Daniel,3 chord
Elton John,"1,4,5",Chorus,Don't Let The Sun Go Down On Me,3 chord
Elton John,"1,4,1",Intro,Levon,3 chord
Elton John,"1,5,1",Verse,Nikita,3 chord
Elton John,"1,5,1",Chorus,The Oven Instructions Song,3 chord
Elton John,"1,5,4",Verse,Tiny Dancer,3 chord
Elton John,"5,6,1",Chorus,Yellow Brick Road,3 chord
Elton John,"6,2,4",Chorus,Your Song,3 chord
Eluveitie,"1,6,5",Intro,Inis Mona,3 chord
Elvis Costello,"1,4,5",Verse,Big Boys,3 chord
Elvis Costello,"1,4,5",Verse,Oliver's Army,3 chord
Elvis Presley,"4,5,6",Chorus,Can't Help Falling In Love,3 chord
Elvis Presley,"1,4,1",Verse,Don't Be Cruel,3 chord
Elvis Presley,"1,5,4",Verse,Hound Dog,3 chord
Elvis Presley,"4,5,6",Chorus,I Can't Help Falling In Love,3 chord
Emancipator,"1,6,5",Chorus,Anthem,3 chord
Emancipator,"4,6,5",Verse,Nevergreen,3 chord
Emax,"1,2,16",Intro and Verse,Delicate Oooz,3 chord
Emblem3,"4,6,5",Chorus,I Love LA,3 chord
Emeli Sande,"4,6,5",Chorus,Heaven,3 chord
Emerson Lake and Palmer,"4,6,4",Verse,The Sheriff,3 chord
Emiko Shiratori,"1,6,4",Verse,Melodies Of Life - FFIX,3 chord
Emilia,"1,5,4",Chorus,Big Big World,3 chord
Emilie Autumn,"1,5,6",Chorus,What If,3 chord
Eminem,"4,5,6",Intro,Mockingbird,3 chord
Eminem feat Rihanna,"4,6,5",Intro,The Monster,3 chord
Eminem ft Rihanna,"6,4,1",Chorus,Love The Way You Lie,3 chord
Empire Of The Sun,"1,4,1",Chorus,Alive,3 chord
Empire Of The Sun,"1,2,16",Chorus,DNA - Calvin Harris Remix,3 chord
Ennio Morricone,"1,5,4",Solo 1,The Good the Bad and the Ugly,3 chord
Enrique Iglesias,"4,1,5",Chorus,Bailamos,3 chord
Enrique Iglesias,"6,4,5",Chorus,Dimelo,3 chord
Enrique Iglesias,"4,6,4",Chorus,Dirty Dancer,3 chord
Enrique Iglesias,"6,5,1",Intro,Escape,3 chord
Enrique Iglesias,"1,6,4",Intro,Hero,3 chord
Enrique Iglesias,"6,3,6",Verse,Tired of Being Sorry,3 chord
Enrique ft Descemer Bueno Gente De Zona,"1,5,6",Verse and Pre-Chorus,Bailando Espanol,3 chord
Enya,"1,5,1",Verse,A Day Without Rain,3 chord
Enya,"4,5,6",Chorus,Anywhere Is,3 chord
Enya,"1,5,4",Verse,Caribbean Blue,3 chord
Enya,"1,5,6",Verse,May It Be,3 chord
Enya,"1,5,4",Bridge,Only Time,3 chord
Enya,"1,5,6",Bridge,Orinico Flow,3 chord
Epic Sax Guy,"6,4,1",Verse,Epic Sax Guy,3 chord
Epica,"6,5,2",Verse,Cry for the Moon,3 chord
Epica,"4,5,3",Chorus,The Essence of Silence,3 chord
Equalizers,"6,3,6",Verse,Every City,3 chord
Erasure,"1,5,6",Pre-Chorus,Always,3 chord
Eric Church,"1,6,4",Verse,Drink In My Hand,3 chord
Eric Clapton,"1,4,1",Intro and Verse,Lay Down Sally,3 chord
Eric Clapton,"4,5,6",Intro,Layla,3 chord
Eric Clapton,"4,1,5",Intro and Verse,Tears in Heaven,3 chord
Eric Clapton,"4,5,1",Verse,You Look Wonderful Tonight,3 chord
Eric Hutchinson,"1,5,1",Chorus,Rock And Roll,3 chord
Eric Johnson,"1,4,5",Verse,Cliffs of Dover,3 chord
Eric Prydz,"1,5,4",Chorus,Call On Me,3 chord
Eric Prydz,"4,5,6",Chorus,Generate,3 chord
Eric Prydz,"4,5,6",Chorus,Opus,3 chord
Eric Prydz,"4,5,6",Verse,Pjanoo,3 chord
Eric Prydz,"5,6,5",Instrumental,Tether ft CHVRCHES,3 chord
Eric Turner vs Avicii,"1,4,1",Chorus,Dancing In My Head - Tom Hangs Remix,3 chord
Eric Whitacre,"1,5,6",Chorus,A Boy and a Girl,3 chord
Eric Whitacre,"1,5,4",Intro,Sleep,3 chord
Erick Strong,"4,5,6",Chorus,Stars,3 chord
Erwin Beekveld,"1,5,1",Intro,They're Taking The Hobbits To Isengard,3 chord
Es Posthumus,"1,2,4",Intro,Nara,3 chord
Etrian Odyssey III - Battlefield,"4,5,1",Chorus,Yuzo Koshiro,3 chord
Eufonius,"4,5,6",Chorus,Mag Mell Cuckool Mix 2007 - Clannad OP,3 chord
Europe,"6,4,2",Intro and Verse,The Final Countdown,3 chord
Eurythmics,"5,6,5",Intro,There Must Be An Angel,3 chord
Eurythmics,"4,5,6",Chorus,Who's That Girl,3 chord
Eva Cassidy,"4,1,6",Intro and Verse,Fields of Gold,3 chord
Eva Simons,"6,5,4",Pre-Chorus,I Don't Like You,3 chord
Evanescence,"1,5,6",Chorus,Bring Me To Life,3 chord
Evanescence,"6,4,1",Chorus,Going Under,3 chord
Evanescence,"6,5,6",Chorus,Haunted,3 chord
Evanescence,"6,5,2",Chorus,Lithium,3 chord
Evanescence,"6,4,1",Chorus,My Heart Is Broken,3 chord
Evanescence,"6,5,6",Pre-Chorus,Sweet Sacrifice,3 chord
Evanescence ,"6,3,6",Pre-Chorus,My Immortal,3 chord
Eve 6,"1,4,5",Chorus,Promise,3 chord
Evermore,"1,5,4",Pre-Chorus,Running,3 chord
Everything But The Girl,"1,4,5",Solo,Downtown Train,3 chord
Exorcist Theme,"6,3,6",Instrumental,Tubular Bells,3 chord
Extreme,"4,5,1",Intro,More Than Words,3 chord
FKA Twigs,"1,5,1",Intro and Verse,Water Me,3 chord
Failure,"5,2,5",Verse,Empty Friend,3 chord
Faith No More,"4,5,6",Intro,Epic,3 chord
Faith No More,"5,2,4",Pre-Chorus,Midlife Crisis,3 chord
Faithless,"6,3,4",Chorus,Insomnia,3 chord
Fake Problems,"1,5,1",Chorus,The Dream Team,3 chord
Falco,"6,3,4",Chorus,Jeanny,3 chord
Fall Of Troy,"1,2,6",Chorus,FCPREMIX,3 chord
Fall Out Boy,"1,6,4",Chorus,America's Suitehearts,3 chord
Fall Out Boy,"6,1,4",Chorus,Centuries,3 chord
Fall Out Boy,"4,5,6",Chorus,Fourth of July,3 chord
Fall Out Boy,"1,6,4",Chorus,I'm Like A Lawyer,3 chord
Fall Out Boy,"1,5,4",Chorus,Irresistible,3 chord
Fall Out Boy,"4,6,4",Verse,My Songs Know What You Did In The Dark,3 chord
Fall Out Boy,"1,4,6",Verse,Sugar We're Going Down,3 chord
Fall Out Boy,"6,4,5",Chorus,Thanks For The Memories,3 chord
Fall Out Boy,"4,5,6",Chorus,Thnks fr th Mmrs,3 chord
Fall Out Boy,"1,5,6",Verse,Young Volcanoes,3 chord
Falling In Reverse,"1,4,6",Intro,Bad Girls Club,3 chord
FamicomForever,"1,4,5",Chorus,Tame Trip,3 chord
Family of the Year,"1,6,3",Chorus,Hero,3 chord
Fancy,"6,2,5",Intro,Flames Of Love,3 chord
Fanfarlo,"1,4,5",Verse,Harold T Wilkins,3 chord
Fanta Idol,"5,6,4",Chorus,Fanta Time,3 chord
Fast Distance,"6,1,4",Chorus,Heaven's Melody - Haris C Remix,3 chord
Fastball,"1,5,6",Chorus,Out Of My Head,3 chord
Fastball,"1,5,6",Chorus,The Way,3 chord
Faul - Wad Ad vs Pnau,"6,1,5",Verse,Changes,3 chord
Feed Me and Kill The Noise,"1,5,4",Verse,Far Away,3 chord
Fegie,"6,3,4",Verse and Pre-Chorus,LA Love,3 chord
Feist,"1,2,6",Verse,1234,3 chord
Felix Cartal feat Ofelia,"1,5,4",Verse and Pre-Chorus,New Scene - Lucky Date Remix,3 chord
Fences,"1,4,1",Chorus,Arrows,3 chord
Feng huang chuan qi,"1,6,1",Verse,Zui xuan min zu feng,3 chord
Fereydoun,"6,4,5",Verse,Faseleha,3 chord
Fergie,"1,5,6",Chorus,Big Girls Don't Cry,3 chord
Fetty Wap,"6,1,4",Chorus,679,3 chord
Fifth Harmony,"1,6,5",Chorus,Worth It,3 chord
Filthy Frank,"1,6,5",Intro,WEEABOO SONG,3 chord
Final Fantasy X-2,"4,5,6",Intro and Verse,Eternity Memory Of Lightwaves,3 chord
Fine Young Cannibals,"1,4,6",Chorus,She Drives Me Crazy,3 chord
Fire Bomber,"6,4,1",Chorus,Macross 7 - Try Again,3 chord
Fire When Ready,"1,6,4",Verse,We All Need Reminders,3 chord
Firewall,"6,3,5",Chorus,Kilimanjaro,3 chord
Firewall,"4,6,5",Chorus,Sincere - Pulser Mix,3 chord
Fitz and The Tantrums,"4,6,5",Chorus,Out Of My League,3 chord
Five,"1,2,4",Intro,Slam Dunk - Da Funk,3 chord
Five For Fighting,"1,5,4",Chorus Lead-Out,100 Years,3 chord
Flaming Jets,"1,4,1",Chorus,Shiver,3 chord
Fleet Foxes,"1,2,3",Verse,He Doesn't Know Why,3 chord
Fleet Foxes,"4,5,1",Verse,Isles,3 chord
Fleet Foxes,"1,4,5",Verse,Tiger Mountain Peasant Song,3 chord
Fleetwood Mac,"1,5,4",Verse,Don't Stop,3 chord
Fleetwood Mac,"4,5,4",Intro,Dreams,3 chord
Fleetwood Mac,"4,5,6",Chorus,Everywhere,3 chord
Fleetwood Mac,"1,4,5",Intro and Verse,Gypsy,3 chord
Fleetwood Mac,"6,1,4",Chorus,Little Lies,3 chord
Fleetwood Mac,"4,6,4",Verse,Rhiannon,3 chord
Fleetwood Mac,"6,4,5",Chorus,The Chain,3 chord
Flip and Fill,"4,5,6",Pre-Chorus,Irish Blue,3 chord
Flo RIda,"4,1,5",Chorus,Whistle,3 chord
Flo Rida,"1,4,1",Chorus,Club Can't Handle Me,3 chord
Flo Rida,"1,5,4",Verse,Good Feeling,3 chord
Flo Rida,"4,5,6",Chorus,I Cry,3 chord
Flo Rida,"6,4,1",Chorus,My House,3 chord
Flo Rida,"6,5,4",Pre-Chorus,Once In A Lifetime,3 chord
Flo Rida,"1,4,5",Chorus,What I Like About You ft Fitz,3 chord
Flo Rida,"1,5,6",Instrumental,Whistle,3 chord
Flo Rida,"1,5,6",Intro,Who Dat Girl,3 chord
FloRida,"1,5,6",Chorus,Right Round feat Kesha,3 chord
Florence and The Machine,"1,6,5",Chorus,Ship To Wreck,3 chord
Florence and the Machine,"1,6,4",Chorus,Cosmic Love,3 chord
Florence and the Machine,"1,2,6",Pre-Chorus and Chorus,Lover To Lover,3 chord
Florence and the Machine,"6,1,5",Pre-Chorus and Chorus,Rabbit Heart,3 chord
Florence and the Machine,"1,4,1",Intro and Verse,Shake It Out,3 chord
Florence and the Machine,"1,5,6",Chorus,Spectrum,3 chord
Florence and the Machine,"1,5,2",Chorus,Spectrum - Calvin Harris Remix,3 chord
Florence and the Machine,"4,6,5",Verse,Swimming,3 chord
Florence and the Machine,"1,5,2",Chorus,You've Got The Love,3 chord
Florida Georgia Line,"1,5,6",Chorus,Cruise,3 chord
Florida Georgia Line,"1,4,6",Chorus,Dirt,3 chord
Florida Georgia Line,"1,5,6",Chorus,Get Your Shine On,3 chord
Flume,"1,2,4",Intro,Never Be Like You feat Kai,3 chord
Flyleaf,"6,1,5",Intro,Again,3 chord
Flyleaf,"5,6,1",Chorus,All Around Me,3 chord
Foals,"6,1,4",Chorus,Electric Bloom,3 chord
Foals,"6,4,2",Verse,Moon,3 chord
Foals,"4,5,6",Verse,Mountain At My Gates,3 chord
Fonic,"6,4,5",Chorus,The Hero,3 chord
Foo Fighters,"1,5,4",Intro,Congregation,3 chord
Foo Fighters,"1,5,4",Pre-Chorus and Chorus,Everlong,3 chord
Foo Fighters,"1,5,4",Chorus,My Hero,3 chord
Foo Fighters,"6,5,2",Verse,Times Like These - Acoustic Version,3 chord
Foo Fighters,"1,5,2",Intro and Verse,Walk,3 chord
Foreigner,"1,4,6",Verse,I Want To Know What Love Is,3 chord
Foreigner,"1,6,5",Chorus,I Want to Know What Love Is,3 chord
Forever The Sickest Kids,"1,5,4",Intro,Whoa Oh Me vs Everyone,3 chord
Fort Minor,"4,5,6",Instrumental,Remember The Name,3 chord
Foster The People,"5,6,3",Chorus,Best Friend,3 chord
Foster The People,"5,1,4",Intro,Don't Stop,3 chord
Foster The People,"4,5,1",Chorus,Helena Beat,3 chord
Foster the People,"1,5,2",Chorus,Pumped Up Kicks,3 chord
Fountains Of Wayne,"1,5,6",Chorus,Stacy's Mum,3 chord
Fountains of Wayne,"1,5,6",Verse,Hey Julie,3 chord
Four Year Strong,"1,5,4",Chorus,Go Down In History,3 chord
