artist,cp,section,song,type
Alan Silvestri,"5,2,5",Outro 2,Back to the Future Theme,3 chord
Alan Silvestri,"1,6,4",Chorus,Forest Gump Theme,3 chord
Alan Silvestri,"4,5,6",Instrumental,The Cosmos Is Yours - Cosmos A SpaceTime Odyssey,3 chord
Alan Walker,"1,5,6",Chorus,Faded,3 chord
Alanis Morissette,"1,6,4",Chorus,Head Over Feet,3 chord
Alanis Morissette,"5,1,5",Chorus,Ironic,3 chord
Alanis Morissette,"1,5,4",Chorus,You Oughta Know,3 chord
Alesso,"4,5,6",Instrumental,Clash,3 chord
Alesso,"6,1,5",Pre-Chorus and Chorus,Cool Feat Roy English,3 chord
Alesso,"6,4,1",Chorus,Heroes,3 chord
Alesso,"6,4,1",Chorus,If It Wasn't For You,3 chord
Alesso,"1,4,6",Pre-Chorus and Chorus,Save The World Remix,3 chord
Alesso,"1,5,4",Chorus,Sweet Escape,3 chord
Alesso,"6,5,4",Chorus,Under Control,3 chord
Alesso and Dirty South,"6,4,1",Instrumental,City of Dreams,3 chord
Alesso feat Matthew Koma,"1,5,2",Chorus,Years,3 chord
Alestorm,"1,5,6",Chorus,Shipwrecked,3 chord
Alex Clare,"1,2,4",Intro,Too Close,3 chord
Alex G,"1,4,5",Chorus,Thorns,3 chord
Alex Gaudino,"4,6,5",Instrumental,I'm In Love,3 chord
Alex Lloyd,"1,5,6",Chorus,Amazing,3 chord
Alex Mauer,"6,3,6",Intro and Verse,Zenith,3 chord
Alex Syntek and Ana Torroja,"4,5,6",Verse,Duele El Amor,3 chord
Alexander Rybak,"6,2,3",Intro,Fairytale,3 chord
Alexandra Stan,"1,5,6",Chorus,Get Back ASAP,3 chord
Alexandra Stan,"6,2,3",Intro,Mr Saxobeat,3 chord
Alice Cooper,"1,5,6",Pre-Chorus and Chorus,Poison,3 chord
Alice Deejay,"6,5,4",Chorus,Better off Alone,3 chord
Alice In Chains,"1,5,2",Chorus,Man In The Box,3 chord
Alice In Chains,"1,5,4",Verse,Nutshell,3 chord
Alicia Keys,"1,4,5",Verse,Girl On Fire,3 chord
Alicia Keys,"1,5,6",Intro,No One,3 chord
Alison Krauss,"1,5,4",Verse,Down To The River To Pray,3 chord
Alizee,"6,4,2",Chorus,Moi Lolita,3 chord
Alkaline Trio,"1,6,5",Intro,Help Me,3 chord
Alkaline Trio,"1,5,6",Pre-Chorus and Chorus,Radio,3 chord
All American Rejects,"4,6,5",Chorus,Gives You Hell,3 chord
All Levels at Once,"1,5,6",Chorus,Phoenix,3 chord
All My Friends ft Tinashe - Chance The Rapper,"1,4,1",Verse,Snakehips,3 chord
Allemaal Door Jou,"6,2,5",Verse,Bart Peeters,3 chord
Allen Watts,"4,5,6",Chorus,Gravity,3 chord
Alligatoah,"1,5,6",Chorus,Lass Liegen,3 chord
Alligatoah,"1,5,6",Pre-Chorus and Chorus,Narben,3 chord
Alligatoah,"1,5,6",Chorus Lead-Out,Trauerfeier Lied,3 chord
Alligatoah,"1,5,1",Chorus,Wer Weiss,3 chord
Alligatoah,"1,2,5",Chorus Lead-Out,Willst Du,3 chord
Allstar Weekend,"1,5,2",Chorus,Hey Princess,3 chord
Aloe Blacc,"6,5,2",Chorus,I Need A Dollar,3 chord
Aloe Blacc,"1,2,1",Chorus,The Man,3 chord
Alphabeat,"1,5,6",Chorus,Vacation,3 chord
Alphaville,"4,1,5",Intro,Big In Japan,3 chord
Alphaville,"1,5,6",Verse,Forever Young,3 chord
Alstroemeria Records,"4,5,6",Chorus,Lovelight - Bad Apple,3 chord
Alt-J,"6,1,3",Chorus,Breezeblocks,3 chord
Alt-J,"4,6,5",Verse,Matilda,3 chord
Alt-J,"1,6,4",Verse,Something Good,3 chord
Alter Bridge,"6,5,4",Chorus,Watch Over You,3 chord
AlunaGeorge,"1,2,4",Instrumental,Supernatural,3 chord
AlunaGeorge,"6,4,2",Intro,Your Drums Your Love,3 chord
Alvaro Soler,"1,5,2",Chorus,Sofia,3 chord
Alvvays,"1,5,2",Verse,Archie Marry Me,3 chord
Aly and AJ,"6,1,4",Verse,Potential Breakup Song,3 chord
Amber,"1,6,1",Verse,Ocean,3 chord
America,"1,2,16",Chorus,A Horse With No Name,3 chord
American Authors,"1,4,1",Chorus,Best Day Of My Life,3 chord
Amy Diamond,"1,6,5",Chorus,Stay My Baby,3 chord
Amy Diamond,"1,5,2",Chorus,What's In It For Me,3 chord
Anamanaguchi,"1,5,6",Verse,Akira,3 chord
Anamanaguchi,"4,5,6",Intro,Rock Club,3 chord
Andain,"5,6,4",Chorus,Beautiful Things,3 chord
Andre Sobota,"1,4,5",Verse,Voyager,3 chord
Andreas Schuller,"6,5,1",Chorus,Mobo 2012,3 chord
Andrew Lloyd Webber,"1,5,4",Chorus,Music of the Night,3 chord
Andrew Lloyd Webber,"6,5,6",Verse,Phantom of the Opera,3 chord
Andrew York,"6,3,6",Chorus,Sanzen-In,3 chord
Andy Akiho,"4,5,4",Verse,Murasaki,3 chord
Andy Clark,"1,4,1",Chorus,Please Don't Shoot the Trombone Players,3 chord
Andy Price,"6,1,4",Bridge,Robin Hood Theme,3 chord
Angel Beats,"4,5,6",Verse and Pre-Chorus,My Soul Your Beats,3 chord
Angelo Badalamenti,"1,6,4",Chorus,Laura Palmer's Theme,3 chord
Angus and Julia Stone,"1,6,3",Verse,Big Jet Plane,3 chord
Animal Collective,"1,4,1",Chorus,Brother Sport,3 chord
Animal Collective,"4,5,1",Pre-Chorus and Chorus,Leaf House,3 chord
Animal Collective,"1,5,1",Pre-Chorus,Peacebone,3 chord
Animation Domination High-Def,"1,5,4",Chorus,The Singularity Song,3 chord
Animusic,"1,2,4",Chorus,Acoustic Curves,3 chord
Animusic,"6,3,2",Pre-Chorus,Aqua Harp,3 chord
